stage,variable,bin_left,bin_right,center,category,N_gal_stage,N_gal_usable,N_gal_category_support,N_spaxel_usable,N_spaxel_category,f_gal_usable,occupancy,mean_intensity,typical_median_log_intensity,in_fixed_reliable_range
post-peak,log_sigma_star,7.5,7.75,7.625,NSF,13,13,12,447605,29331,1.0,0.055229247886807054,7.84358663143759e+37,37.725414237055915,True
post-peak,log_sigma_star,7.5,7.75,7.625,ND,13,13,13,447605,400297,1.0,0.8999061775297181,1.833149589669463e+37,37.11787694171438,True
post-peak,log_sigma_star,7.75,8.0,7.875,SF,13,13,8,840619,50895,1.0,0.0539744634558092,1.8906380835537944e+39,38.76345294966518,True
post-peak,log_sigma_star,7.75,8.0,7.875,NSF,13,13,13,840619,108228,1.0,0.13387326251446424,1.0431256094197932e+38,37.7045496454398,True
post-peak,log_sigma_star,7.75,8.0,7.875,ND,13,13,13,840619,681496,1.0,0.8121522740297265,2.271192752269561e+37,37.272367617480946,True
post-peak,log_sigma_star,8.0,8.25,8.125,SF,13,13,12,659916,53966,1.0,0.09251286287637146,2.877904099129137e+39,39.271317172120256,True
post-peak,log_sigma_star,8.0,8.25,8.125,NSF,13,13,13,659916,205082,1.0,0.3270776751611107,1.877911404813046e+38,38.030582103406005,True
post-peak,log_sigma_star,8.0,8.25,8.125,ND,13,13,13,659916,400868,1.0,0.580409461962518,3.2008620661017146e+37,37.460351572695735,True
post-peak,log_sigma_star,8.25,8.5,8.375,SF,13,13,13,389692,57612,1.0,0.2327160202194418,4.311293907005476e+39,39.292412974801664,True
post-peak,log_sigma_star,8.25,8.5,8.375,NSF,13,13,13,389692,203516,1.0,0.5017176968903008,4.692980243760119e+38,38.39263489736231,True
post-peak,log_sigma_star,8.25,8.5,8.375,ND,13,13,13,389692,128564,1.0,0.2655662828902574,4.986337098257801e+37,37.640161883449686,True
post-peak,log_sigma_star,8.5,8.75,8.625,SF,13,13,12,200243,31563,1.0,0.3114482891756395,7.578159836849925e+39,39.63536487603022,True
post-peak,log_sigma_star,8.5,8.75,8.625,NSF,13,13,13,200243,133679,1.0,0.5633757942741885,1.089309344769205e+39,38.91723261217601,True
post-peak,log_sigma_star,8.5,8.75,8.625,ND,13,13,11,200243,35001,1.0,0.12517591655017196,6.825468792447807e+37,37.78707954217352,True
post-peak,log_sigma_star,8.75,9.0,8.875,SF,13,13,10,90178,7066,1.0,0.3056073920188369,1.2309200993483018e+40,39.795486471181,True
post-peak,log_sigma_star,8.75,9.0,8.875,NSF,13,13,12,90178,70331,1.0,0.6104192394624277,2.665878799780503e+39,39.0037776820057,True
post-peak,log_sigma_star,8.75,9.0,8.875,ND,13,13,7,90178,12781,1.0,0.08397336851873531,1.3719315616314083e+38,37.958826199048204,True
post-peak,log_sigma_star,9.0,9.25,9.125,SF,13,12,7,38872,888,0.9230769230769231,0.23394476798681854,1.878156962436727e+40,39.992861261347585,True
post-peak,log_sigma_star,9.0,9.25,9.125,NSF,13,12,10,38872,33370,0.9230769230769231,0.6861141659115298,6.413530489476615e+39,39.19754578013384,True
