GALID,stage,variable,bin_left,bin_right,center,category,N_usable,N_category,eligible_usable,category_support,f_category,sum_lha_within_category,lha_mean_within_category,median_log_lha_within_category,N_bpt_common,bpt_common_support,sum_HA6562_within_category,mean_HA6562_within_category,sum_OIII5006_within_category,mean_OIII5006_within_category,sum_NII6583_within_category,mean_NII6583_within_category,sum_SII_SUM_within_category,mean_SII_SUM_within_category,sum_HB4861_within_category,mean_HB4861_within_category,N_log_OIII_Hb,median_log_OIII_Hb,N_log_NII_Ha,median_log_NII_Ha,N_log_SII_Ha,median_log_SII_Ha,N_log_OI_Ha,median_log_OI_Ha,N_sigma_Ha,median_sigma_Ha
NGC4298,close-to-peak,log_sigma_star,9.0,9.25,9.125,NSF,395,265,True,True,0.6708860759493671,5.0197165812972524e+42,1.8942326721876425e+40,39.9096226859137,265,True,5.0197165812972524e+42,1.8942326721876425e+40,5.444427880520152e+41,2.0545010869887365e+39,1.9021998193190062e+42,7.178112525732099e+39,1.3856148916092549e+42,5.228735440034924e+39,1.75514565779624e+42,6.623191161495245e+39,265,-0.4456802308559418,265,-0.40123048424720764,265,-0.5185694098472595,262,-1.4760286808013916,265,47.6667594909668
NGC4298,close-to-peak,log_sigma_star,9.0,9.25,9.125,ND,395,0,True,False,0.0,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,9.25,9.5,9.375,SF,14,2,False,False,,3.506537724864801e+40,1.7532688624324004e+40,40.24384851992573,2,False,3.506537724864801e+40,1.7532688624324004e+40,4.226187917650853e+39,2.1130939588254265e+39,1.3489933108627594e+40,6.744966554313797e+39,1.0333600407446414e+40,5.166800203723207e+39,1.2260621415611176e+40,6.130310707805588e+39,2,-0.4625636637210846,2,-0.41486871242523193,2,-0.5306268334388733,2,-1.6813178062438965,2,44.211181640625
NGC4298,close-to-peak,log_sigma_star,9.25,9.5,9.375,NSF,14,12,False,False,,1.2989695820934456e+42,1.082474651744538e+41,41.10237223030066,12,False,1.2989695820934456e+42,1.082474651744538e+41,1.0255359546259549e+41,8.546132955216291e+39,4.820835177613844e+41,4.017362648011537e+40,3.4260773124952362e+41,2.8550644270793634e+40,4.541851685641412e+41,3.7848764047011767e+40,12,-0.6385482549667358,12,-0.42326104640960693,12,-0.5701586008071899,12,-1.6946897506713867,12,49.956642150878906
NGC4298,close-to-peak,log_sigma_star,9.25,9.5,9.375,ND,14,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,9.5,9.75,9.625,SF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,9.5,9.75,9.625,NSF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,9.5,9.75,9.625,ND,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,9.75,10.0,9.875,SF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,9.75,10.0,9.875,NSF,0,0,False,False,,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
