stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,log_sigma_star,8.625,HA6562,3.5575921495266896e+39,1.5858558641503527e+39,5.413340073432475e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,HB4861,1.2441477556029795e+39,5.5486868162282134e+38,1.892845613226789e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,OIII5006,1.1169751648007082e+39,4.159022180386455e+38,1.7988541279095304e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,NII6583,1.3271943498121344e+39,9.86539453732917e+38,1.6715152510947776e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,SII_SUM,1.3422722214093168e+39,6.385352112065877e+38,2.0103929084210642e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.625,F_ND,0.03274694629185039,0.017309795475401315,0.048394334863249434,7,0.0032,0.0
pre-peak,log_sigma_star,8.875,O,0.4584053270021695,0.31066217790862644,0.6065481049572317,6,0.0,0.0
pre-peak,log_sigma_star,8.875,I,0.178170877022623,0.12073863878140383,0.24295970083743285,5,0.0,0.0
pre-peak,log_sigma_star,8.875,T,0.08167447914381883,0.04873103833819836,0.11426161669719077,6,0.0,0.0
pre-peak,log_sigma_star,8.875,F_SF,0.4584053270021695,0.31066217790862644,0.6065481049572317,6,0.0,0.0
pre-peak,log_sigma_star,8.875,F_NSF,0.5365923069512931,0.3897517557700018,0.6833544730993523,6,0.0,0.0
pre-peak,log_sigma_star,8.875,I_NSF,1.2509431885241391e+40,4.6957852094865726e+39,1.9963270458557042e+40,6,0.0,0.0
pre-peak,log_sigma_star,8.875,J_NSF,4.7366675489746074e+39,1.7594604385929976e+39,7.460408644991665e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.875,HA6562,1.2395989880700807e+40,4.542346759404052e+39,1.987012095830512e+40,6,0.0,0.0
pre-peak,log_sigma_star,8.875,HB4861,4.3344087177558805e+39,1.5885213242316767e+39,6.947731101623328e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.875,OIII5006,3.772641183979002e+39,8.403659185529114e+38,6.661136956060812e+39,6,0.0,0.0
pre-peak,log_sigma_star,8.875,NII6583,3.639792755169043e+39,2.3624776006169494e+39,4.917688725095713e+39,6,0.0,0.0
