zone,time_Myr,D,median_A,SF,NSF,ND,I_SF,I_NSF,A_det,A_SF
inner,365.0,0.09796629760734643,0.11848636378877991,0.11973672648392264,0.8802632735160774,0.0,0.6263948689555626,0.2192596726285502,0.0,0.3220337023926536
inner,367.5,0.09755895392265368,0.11750308012941311,0.11749649980182575,0.8825035001981743,0.0,0.6254755382065782,0.21835499336732278,0.0,0.32244104607734636
inner,370.0,0.09715330397225026,0.11652795645338841,0.11528767731898348,0.8847123226810165,0.0,0.6245635389164487,0.21744998473433458,0.0,0.3228466960277498
inner,372.5,0.09674934071359219,0.11556092504339194,0.11311006594978568,0.8868899340502143,0.0,0.6236587923745596,0.21654468586471187,0.0,0.32325065928640784
inner,375.0,0.09634705713341825,0.11460191874407605,0.11096346792815526,0.8890365320718447,0.0,0.622761220869316,0.21563913609774948,0.0,0.3236529428665818
inner,377.5,0.09594644624762841,0.11365087095739564,0.10884768096052033,0.8911523190394797,0.0,0.6218707476742696,0.21473337496826878,0.0,0.32405355375237166
inner,380.0,0.09554750110116252,0.11270771563798335,0.10676249837818474,0.8932375016218153,0.0,0.6209872970344417,0.2138274421978409,0.0,0.32445249889883754
inner,382.5,0.09515021476787952,0.11177238728856294,0.10470770928901807,0.8952922907109819,0.0,0.620110794152838,0.21292137768587766,0.0,0.3248497852321205
inner,385.0,0.09475458035043727,0.11084482095540092,0.10268309872838965,0.8973169012716103,0.0,0.6192411651771613,0.2120152215005956,0.0,0.3252454196495628
inner,387.5,0.09436059098017278,0.10992495222379586,0.10068844780927488,0.8993115521907251,0.0,0.6183783371867054,0.21110901386985648,0.0,0.32563940901982724
inner,390.0,0.09396823981698288,0.10901271721360505,0.09872353387145916,0.9012764661285408,0.0,0.617522238179442,0.21020279517188795,0.0,0.32603176018301716
inner,392.5,0.09357752004920561,0.10810805257480836,0.09678813062977287,0.9032118693702271,0.0,0.6166727970592907,0.20929660592589028,0.0,0.32642247995079443
inner,395.0,0.09318842489350182,0.10721089548310903,0.09488200832128935,0.9051179916787107,0.0,0.615829943623565,0.20839048678253252,0.0,0.3268115751064982
inner,397.5,0.09280094759473753,0.10632118363557064,0.09300493385141828,0.9069950661485817,0.0,0.6149936085506105,0.20748447851434265,0.0,0.3271990524052625
inner,400.0,0.09241508142586656,0.10543885524629071,0.09115667093883584,0.9088433290611642,0.0,0.6141637233875997,0.20657862200599728,0.0,0.32758491857413347
inner,402.5,0.09203081968781379,0.10456384904210983,0.08933698025918435,0.9106630197408156,0.0,0.6133402205385259,0.20567295824451493,0.0,0.32796918031218625
inner,405.0,0.09164815570935884,0.10369610425835661,0.08754561958748841,0.9124543804125116,0.0,0.6125230332523454,0.20476752830935863,0.0,0.3283518442906412
inner,407.5,0.09126708284702024,0.1028355606346279,0.08578234393922513,0.9142176560607749,0.0,0.6117120956113109,0.20386237336245217,0.0,0.3287329171529798
inner,410.0,0.09088759448494015,0.10198215841060398,0.08404690570999773,0.9159530942900023,0.0,0.6109073425194544,0.2029575346381158,0.0,0.3291124055150599
inner,412.5,0.09050968403476936,0.1011358383218986,0.08233905481375658,0.9176609451862434,0.0,0.6101087096912476,0.2020530534329263,0.0,0.3294903159652307
inner,415.0,0.09013334493555311,0.10029654159594321,0.08065853881951845,0.9193414611804815,0.0,0.6093161336404194,0.2011489710955071,0.0,0.3298666550644469
inner,417.5,0.08975857065361702,0.09946420994790567,0.07900510308653463,0.9209948969134654,0.0,0.6085295516689373,0.20024532901625375,0.0,0.330241429346383
inner,420.0,0.0893853546824537,0.0986387855766426,0.07737849089786142,0.9226215091021386,0.0,0.6077489018561442,0.199342168617,0.0,0.33061464531754636
inner,422.5,0.08901369054260987,0.09782021116068536,0.07577844359228847,0.9242215564077115,0.0,0.606974123048054,0.19843953134063114,0.0,0.33098630945739016
inner,425.0,0.08864357178157375,0.09700842985425948,0.07420470069458185,0.9257952993054182,0.0,0.6062051548467987,0.1975374586406493,0.0,0.33135642821842626
inner,427.5,0.0882749919736631,0.09620338528333686,0.072657000044001,0.927342999955999,0.0,0.6054419376002343,0.1966359919706967,0.0,0.3317250080263369
inner,430.0,0.08790794471991367,0.09540502154172098,0.07113507792105356,0.9288649220789464,0.0,0.6046844123916847,0.19573517277404326,0.0,0.33209205528008634
