stage,variable,bin_left,bin_right,center,N_gal_stage,N_gal_usable,N_gal_any_SF,N_gal_SF_support,N_spaxel_usable,N_spaxel_SF,f_gal_usable,f_gal_SF_support,occupancy,total_hii,survivor_intensity,in_fixed_reliable_range
post-peak,radius_re,4.5,4.75,4.625,13,1,0,0,73,0,0.07692307692307693,0.0,0.0,0.0,,False
post-peak,radius_re,4.75,5.0,4.875,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,5.0,5.25,5.125,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,5.25,5.5,5.375,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,5.5,5.75,5.625,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,5.75,6.0,5.875,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,6.0,6.25,6.125,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,6.25,6.5,6.375,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,6.5,6.75,6.625,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,6.75,7.0,6.875,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,7.0,7.25,7.125,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,7.25,7.5,7.375,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,7.5,7.75,7.625,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,7.75,8.0,7.875,13,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,log_sigma_star,5.75,6.0,5.875,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,log_sigma_star,6.0,6.25,6.125,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,log_sigma_star,6.25,6.5,6.375,8,1,0,0,443,0,0.125,0.0,0.0,0.0,,False
pre-peak,log_sigma_star,6.5,6.75,6.625,8,2,2,2,1376,369,0.25,0.25,0.5772460117548279,0.0021729945749937585,0.0037644167837346415,False
pre-peak,log_sigma_star,6.75,7.0,6.875,8,3,2,2,21860,6759,0.375,0.25,0.31001660825294075,0.0015458938105473022,0.004986487076479517,False
pre-peak,log_sigma_star,7.0,7.25,7.125,8,5,4,4,60705,29160,0.625,0.5,0.451148137427551,0.0015659765902857653,0.0034710917775588566,True
pre-peak,log_sigma_star,7.25,7.5,7.375,8,8,7,7,167362,92952,1.0,0.875,0.4280052611637158,0.0027814351321988127,0.006498600331772298,True
pre-peak,log_sigma_star,7.5,7.75,7.625,8,8,8,8,419725,224142,1.0,1.0,0.46018492584640197,0.0040645536304341826,0.008832435401829802,True
pre-peak,log_sigma_star,7.75,8.0,7.875,8,8,8,8,738692,379606,1.0,1.0,0.5371344846610683,0.008498573286191788,0.015822058588463903,True
pre-peak,log_sigma_star,8.0,8.25,8.125,8,8,8,8,681067,357961,1.0,1.0,0.5874760401162127,0.014782041823266305,0.025161948426598246,True
pre-peak,log_sigma_star,8.25,8.5,8.375,8,8,8,8,367286,188776,1.0,1.0,0.5792719807425191,0.023983835567875443,0.04140341042757259,True
pre-peak,log_sigma_star,8.5,8.75,8.625,8,7,7,7,155162,82920,0.875,0.875,0.49856635388581955,0.04547948436974253,0.09122052464085478,True
pre-peak,log_sigma_star,8.75,9.0,8.875,8,6,6,5,57865,37965,0.75,0.625,0.4584053270021695,0.08167447914381891,0.1781708770226232,True
pre-peak,log_sigma_star,9.0,9.25,9.125,8,6,6,5,20837,15013,0.75,0.625,0.49580526858757007,0.15667279508684992,0.3159966321720885,True
pre-peak,log_sigma_star,9.25,9.5,9.375,8,6,6,5,7514,4279,0.75,0.625,0.4259749194327956,0.22814453310712235,0.5355820793649233,True
pre-peak,log_sigma_star,9.5,9.75,9.625,8,4,4,3,2359,853,0.5,0.375,0.30434812158502383,0.1476864321049674,0.48525494862865176,False
pre-peak,log_sigma_star,9.75,10.0,9.875,8,3,3,2,656,98,0.375,0.25,0.18980139304681512,0.17265657880879262,0.9096697133629905,False
pre-peak,log_sigma_star,10.0,10.25,10.125,8,1,0,0,131,0,0.125,0.0,0.0,0.0,,False
pre-peak,log_sigma_star,10.25,10.5,10.375,8,1,0,0,50,0,0.125,0.0,0.0,0.0,,False
pre-peak,log_sigma_star,10.5,10.75,10.625,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,log_sigma_star,10.75,11.0,10.875,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,log_sigma_star,11.0,11.25,11.125,8,0,0,0,0,0,0.0,0.0,,,,False
pre-peak,radius_re,0.0,0.25,0.125,8,8,8,8,104470,35570,1.0,1.0,0.5154533149862964,0.12787503087838648,0.2480826626981458,True
pre-peak,radius_re,0.25,0.5,0.375,8,8,8,8,310717,134439,1.0,1.0,0.5761654828946581,0.046811580174518835,0.08124676254352697,True
pre-peak,radius_re,0.5,0.75,0.625,8,8,8,8,502275,277751,1.0,1.0,0.5911150947585595,0.03916420312635557,0.06625478434508962,True
pre-peak,radius_re,0.75,1.0,0.875,8,8,8,8,590715,285398,1.0,1.0,0.5546207017856468,0.01767523001126734,0.031869041228285364,True
pre-peak,radius_re,1.0,1.25,1.125,8,8,8,8,431942,234568,1.0,1.0,0.5331573977894409,0.012097425901426376,0.022690158575280606,True
pre-peak,radius_re,1.25,1.5,1.375,8,8,8,8,269379,163747,1.0,1.0,0.5687637439699166,0.009450348382764463,0.01661559563695452,True
pre-peak,radius_re,1.5,1.75,1.625,8,7,7,7,180487,102666,0.875,0.875,0.4291361406996072,0.004905258660731956,0.011430541955135884,True
pre-peak,radius_re,1.75,2.0,1.875,8,6,5,5,133846,75164,0.75,0.625,0.3128772546083451,0.0033100273845585618,0.010579316124152275,True
pre-peak,radius_re,2.0,2.25,2.125,8,4,4,4,89398,52231,0.5,0.5,0.2878230394475979,0.002897187532292141,0.010065863865007282,True
pre-peak,radius_re,2.25,2.5,2.375,8,4,3,3,52201,31839,0.5,0.375,0.23906045927295003,0.004634505051830149,0.01938633041166649,True
