stage,variable,center,metric,delta,lo,hi,n_target,n_pre,finite_draw_fraction
close-to-peak,log_sigma_star,9.125,NII6583,-0.12675741974997123,-0.3602359907382333,0.06861708139266053,4,6,0.9999
close-to-peak,log_sigma_star,9.125,SII_SUM,-0.15941417577992212,-0.4116319685421308,0.15788172646202658,4,6,0.9999
close-to-peak,log_sigma_star,9.125,F_ND,,,,4,6,0.0
close-to-peak,log_sigma_star,9.375,O,-1.744083114803427,-1.831221593421071,-1.637411309358911,1,6,0.6727
close-to-peak,log_sigma_star,9.375,I,-0.7491068048575817,-0.9019118157532744,-0.5296604964464873,1,5,0.6727
close-to-peak,log_sigma_star,9.375,T,-2.493189919661009,-2.644827187502055,-2.263249034857138,1,6,0.6727
close-to-peak,log_sigma_star,9.375,F_SF,-1.744083114803427,-1.831221593421071,-1.637411309358911,1,6,0.6727
close-to-peak,log_sigma_star,9.375,F_NSF,0.17770462484459232,0.11264351540583274,0.2559573850465484,1,6,0.6727
close-to-peak,log_sigma_star,9.375,I_NSF,-1.847822958336927,-2.019310013184665,-1.550062827083508,1,6,0.6727
close-to-peak,log_sigma_star,9.375,J_NSF,-1.6728874658691737,-1.8306577207654442,-1.3990257025030317,1,6,0.6727
close-to-peak,log_sigma_star,9.375,HA6562,-1.8486703397007176,-2.0201106609062762,-1.5485540829459694,1,6,0.6727
close-to-peak,log_sigma_star,9.375,HB4861,-1.8480293539918975,-2.019469675197456,-1.5479130972371493,1,6,0.6727
close-to-peak,log_sigma_star,9.375,OIII5006,-1.4748031608957177,-1.7436908246495406,-0.6231665376446003,1,6,0.6727
close-to-peak,log_sigma_star,9.375,NII6583,-1.1756195192543473,-1.279224438230763,-1.036765708866028,1,6,0.6727
close-to-peak,log_sigma_star,9.375,SII_SUM,-1.3781906657427214,-1.530922756608674,-1.11934460414097,1,6,0.6727
close-to-peak,log_sigma_star,9.375,F_ND,,,,1,6,0.0
close-to-peak,radius_re,0.125,O,0.011930072665216118,-0.14597569713109781,0.16284504529224203,5,8,1.0
close-to-peak,radius_re,0.125,I,-0.38511807417210553,-0.645593439708097,0.08066234278027247,5,8,1.0
close-to-peak,radius_re,0.125,T,-0.37318800150688936,-0.6617053723473196,0.1067352723341306,5,8,1.0
close-to-peak,radius_re,0.125,F_SF,0.011930072665216118,-0.14597569713109781,0.16284504529224203,5,8,1.0
close-to-peak,radius_re,0.125,F_NSF,-0.01956640220685163,-0.18726838349245625,0.13852980818100163,5,8,1.0
close-to-peak,radius_re,0.125,I_NSF,-0.838883286892397,-1.0934482129611593,-0.28861662002042465,5,8,1.0
close-to-peak,radius_re,0.125,J_NSF,-0.7899206666997216,-1.0498823718352286,-0.20789914669976867,5,8,1.0
close-to-peak,radius_re,0.125,HA6562,-0.837746553493318,-1.0906144100645303,-0.29010425804480783,5,8,1.0
close-to-peak,radius_re,0.125,HB4861,-0.837721909379276,-1.0905676224995309,-0.2900567028155655,5,8,1.0
close-to-peak,radius_re,0.125,OIII5006,-1.113006787044668,-1.421782040230452,-0.17184175278299368,5,8,1.0
close-to-peak,radius_re,0.125,NII6583,-0.5359675881819683,-0.7383579466453679,-0.22367985534440066,5,8,1.0
close-to-peak,radius_re,0.125,SII_SUM,-0.577995945665819,-0.8045826152647837,-0.07596422134516502,5,8,1.0
close-to-peak,radius_re,0.125,F_ND,0.1824688341541043,0.05304767484146211,0.7073864411689903,5,8,0.6567
close-to-peak,radius_re,0.375,O,-0.11233054982706711,-0.30102774710331165,0.034722572137059184,5,8,1.0
close-to-peak,radius_re,0.375,I,-0.5458309940592796,-0.7094889077274975,-0.26996646154847903,5,8,1.0
close-to-peak,radius_re,0.375,T,-0.6581615438863468,-0.8909405467718917,-0.3635284088968542,5,8,1.0
close-to-peak,radius_re,0.375,F_SF,-0.11233054982706711,-0.30102774710331165,0.034722572137059184,5,8,1.0
close-to-peak,radius_re,0.375,F_NSF,0.17217812280252243,0.025969857823835242,0.3046958227541674,5,8,1.0
close-to-peak,radius_re,0.375,I_NSF,-0.9051222189711154,-1.1658556550364003,-0.14375417574322374,5,8,1.0
close-to-peak,radius_re,0.375,J_NSF,-0.6809511370666783,-0.9949443894998626,0.3018525044689565,5,8,1.0
close-to-peak,radius_re,0.375,HA6562,-0.9022277742825295,-1.1616282724990323,-0.15639188509787064,5,8,1.0
close-to-peak,radius_re,0.375,HB4861,-0.9017954904558039,-1.1610805896717182,-0.15581615328808596,5,8,1.0
close-to-peak,radius_re,0.375,OIII5006,-0.9526720268346693,-1.2375862048744297,-0.048197662433792934,5,8,1.0
close-to-peak,radius_re,0.375,NII6583,-0.5030560983323369,-0.7267812344192308,-0.07205196317417008,5,8,1.0
close-to-peak,radius_re,0.375,SII_SUM,-0.63676750950588,-0.893725329813374,0.027530333382870226,5,8,1.0
close-to-peak,radius_re,0.375,F_ND,-0.49025437904458924,-0.8737411551170438,-0.03859252225847487,5,8,0.986
close-to-peak,radius_re,0.625,O,-0.1007259658965931,-0.28203495579383975,0.03222153813675479,5,8,1.0
close-to-peak,radius_re,0.625,I,-0.4917683894619509,-0.6830052965790105,-0.16046957244911428,5,8,1.0
close-to-peak,radius_re,0.625,T,-0.5924943553585442,-0.8520763222304049,-0.2603588817812505,5,8,1.0
close-to-peak,radius_re,0.625,F_SF,-0.1007259658965931,-0.28203495579383975,0.03222153813675479,5,8,1.0
close-to-peak,radius_re,0.625,F_NSF,0.11849796710238453,-0.022930806874881783,0.2313513404945539,5,8,1.0
close-to-peak,radius_re,0.625,I_NSF,-0.6665430857743786,-0.9351329100097476,-0.049809702842515555,5,8,1.0
close-to-peak,radius_re,0.625,J_NSF,-0.6331684055698474,-0.9496755218151719,0.11517517759440266,5,8,1.0
close-to-peak,radius_re,0.625,HA6562,-0.6673606038617663,-0.9294688179144657,-0.09635846013705392,5,8,1.0
close-to-peak,radius_re,0.625,HB4861,-0.666925568467974,-0.9287555710391604,-0.09586127089855326,5,8,1.0
close-to-peak,radius_re,0.625,OIII5006,-0.7640458202617069,-1.038676946596412,-0.04431473261140014,5,8,1.0
close-to-peak,radius_re,0.625,NII6583,-0.3463394974712344,-0.5954262271256422,-0.04030526535655071,5,8,1.0
close-to-peak,radius_re,0.625,SII_SUM,-0.539100459543647,-0.768263449574982,-0.05564425900899808,5,8,1.0
close-to-peak,radius_re,0.625,F_ND,0.07633110895030559,-0.305954380973424,0.4887200221267691,5,8,0.9992
close-to-peak,radius_re,0.875,O,-0.15096099861716084,-0.35176136776842304,-0.0059816517310492465,5,8,0.9997
