component,oid,alias
NGC4064,1883583,2MASX J12041119+1826364
NGC4064,1883583,CAIRNS J120411.18+182636.4
NGC4064,1883583,[CHM2007] LDC  904 J120411.19+1826364
NGC4064,1883583,EVCC 93
NGC4064,1883583,IRAS 12016+1843
NGC4064,1883583,IRAS F12016+1843
NGC4064,1883583,LAMOST J120411.02+182638.1
NGC4064,1883583,LEDA   38167
NGC4064,1883583,[M98c] 120137.3+184316
NGC4064,1883583,MCG+03-31-033
NGC4064,1883583,NGC  4064
NGC4064,1883583,PSCz Q12016+1843
NGC4064,1883583,SDSS J120411.09+182640.4
NGC4064,1883583,SDSS J120411.39+182626.6
NGC4064,1883583,UGC  7054
NGC4064,1883583,UZC J120411.2+182637
NGC4064,1883583,[YOF95]   5
NGC4064,1883583,Z 1201.7+1843
NGC4064,1883583,Z  98-44
NGC4293,1909969,2MASX J12211289+1822566
NGC4293,1909969,CAIRNS J122112.83+182257.6
NGC4293,1909969,[CHM2007] HDC  720 J122112.89+1822566
NGC4293,1909969,[CHM2007] LDC  904 J122112.89+1822566
NGC4293,1909969,EVCC 401
NGC4293,1909969,IRAS 12186+1839
NGC4293,1909969,IRAS F12186+1839
NGC4293,1909969,ISOSS J12212+1823
NGC4293,1909969,LEDA   39907
NGC4293,1909969,MCG+03-32-006
NGC4293,1909969,NGC  4293
NGC4293,1909969,NVSS B121840+183934
NGC4293,1909969,PSCz Q12186+1839
NGC4293,1909969,SDSS J122112.82+182257.7
NGC4293,1909969,[SLK2000]  42
NGC4293,1909969,[SLK2004] 684
NGC4293,1909969,[TH2002]  10
NGC4293,1909969,UGC  7405
NGC4293,1909969,UZC J122112.6+182256
NGC4293,1909969,VCC  460
NGC4293,1909969,[YOF95]  83
NGC4293,1909969,Z 1218.7+1840
NGC4293,1909969,Z  99-23
NGC4302,1910116,2MASX J12214247+1435519
NGC4302,1910116,2MFGC 9724
NGC4302,1910116,ALFALFA 1-276
NGC4302,1910116,[BEC2010] HRS 113
NGC4302,1910116,[CHM2007] HDC  720 J122142.47+1435519
NGC4302,1910116,[CHM2007] LDC  904 J122142.47+1435519
NGC4302,1910116,EON 185.427+14.598
NGC4302,1910116,EVCC 422
NGC4302,1910116,KPG 332b
NGC4302,1910116,LEDA   39974
NGC4302,1910116,[M98c] 121910.2+145243
NGC4302,1910116,MCG+03-32-009
NGC4302,1910116,NGC  4302
NGC4302,1910116,NVSS B121910+145222
NGC4302,1910116,SDSS J122142.47+143553.8
NGC4302,1910116,[T76]  62B
NGC4302,1910116,UGC  7418
NGC4302,1910116,UZC J122142.3+143559
NGC4302,1910116,VCC  497
NGC4302,1910116,VPC  155
NGC4302,1910116,[YOF95]  88
NGC4302,1910116,[YWP2010] 185.424+14.621
NGC4302,1910116,Z 1219.2+1453
NGC4302,1910116,Z  99-27
NGC4298,1910117,1E 1219.1+1552
NGC4298,1910117,2MASXI J1221321+143648
NGC4298,1910117,2MASX J12213279+1436217
NGC4298,1910117,2XMM J122132.7+143621
NGC4298,1910117,[BEC2010] HRS 111
NGC4298,1910117,[CHM2007] HDC  720 J122132.79+1436217
NGC4298,1910117,[CHM2007] LDC  904 J122132.79+1436217
NGC4298,1910117,[DSB94] 305
NGC4298,1910117,EVCC 412
NGC4298,1910117,Gaia DR2 3921151179556729984
NGC4298,1910117,Gaia DR3 3921151179557069824
NGC4298,1910117,IRAS 12190+1452
NGC4298,1910117,IRAS F12190+1452
NGC4298,1910117,KPG 332a
NGC4298,1910117,LCSB L510
NGC4298,1910117,LEDA   39950
NGC4298,1910117,[M98c] 121900.4+145303
NGC4298,1910117,MCG+03-32-007
NGC4298,1910117,NGC  4298
NGC4298,1910117,NVSS B121900+145258
NGC4298,1910117,PSCz Q12190+1452
NGC4298,1910117,SDSS J122132.76+143622.1
NGC4298,1910117,[T76]  62A
NGC4298,1910117,UGC  7412
NGC4298,1910117,UZC J122132.8+143624
NGC4298,1910117,VCC  483
NGC4298,1910117,VPC  146
NGC4298,1910117,[YOF95]  85
NGC4298,1910117,Z 1219.0+1453
NGC4298,1910117,Z  99-24
NGC4192,1910559,1E 1211.2+1510
NGC4192,1910559,2MASX J12134829+1454016
NGC4192,1910559,2MFGC 9627
NGC4192,1910559,ALFALFA 1-177
NGC4192,1910559,[BEC2010] HRS  91
NGC4192,1910559,[CAB95] IRAS F12112+1510
NGC4192,1910559,CAIRNS J121348.28+145401.2
NGC4192,1910559,[CHM2007] HDC  708 J121348.29+1454016
NGC4192,1910559,[CHM2007] LDC  904 J121348.29+1454016
NGC4192,1910559,[DC78] UGC  7231
NGC4192,1910559,[DSB94] 113
NGC4192,1910559,EVCC 188
NGC4192,1910559,Gaia DR3 3921364416093374208
NGC4192,1910559,INTREF   480
NGC4192,1910559,IRAS 12112+1510
NGC4192,1910559,IRAS F12112+1510
NGC4192,1910559,ISOSS J12138+1453
NGC4192,1910559,LEDA   39028
NGC4192,1910559,M  98
NGC4192,1910559,[M98c] 121115.4+151023
NGC4192,1910559,MCG+03-31-079
NGC4192,1910559,NGC  4192
NGC4192,1910559,[NKB95] N4192
NGC4192,1910559,NVSS B121115+151032
NGC4192,1910559,PCCS1 545 G265.43+74.97
NGC4192,1910559,PCCS1 857 G265.42+74.97
NGC4192,1910559,PSCz Q12112+1510
NGC4192,1910559,SDSS J121347.34+145356.9
NGC4192,1910559,SDSS J121348.28+145401.6
NGC4192,1910559,[SLK2004] 670
NGC4192,1910559,TGSSADR J121348.3+145402
NGC4192,1910559,[THP2000] NGC  4192 0
NGC4192,1910559,UGC  7231
NGC4192,1910559,UZC J121348.2+145400
NGC4192,1910559,VCC   92
NGC4192,1910559,[VV2000c] J121348.3+145402
NGC4192,1910559,[VV2003c] J121348.3+145402
NGC4192,1910559,[VV2006c] J121348.3+145402
NGC4192,1910559,[VV2010c] J121348.3+145402
NGC4192,1910559,[VV98c] J121348.3+145402
NGC4192,1910559,[YOF95]  30
NGC4192,1910559,[YWP2010] 183.451+14.901
NGC4192,1910559,Z 1211.2+1510
NGC4192,1910559,Z  98-108
NGC4254,1910773,1RXS J121853.8+142602
NGC4254,1910773,2E 1216.3+1441
NGC4254,1910773,2E  2650
NGC4254,1910773,2MASX J12184962+1424593
NGC4254,1910773,87GB 121618.2+144207
NGC4254,1910773,ALFALFA 1-248
NGC4254,1910773,[BEC2010] HRS 102
NGC4254,1910773,BWE 1216+1442
NGC4254,1910773,[CAB95] IRAS F12163+1441
NGC4254,1910773,CAIRNS J121849.56+142459.4
NGC4254,1910773,[CHM2007] HDC  702 J121849.62+1424593
NGC4254,1910773,[CHM2007] LDC  904 J121849.62+1424593
NGC4254,1910773,[DC78] UGC  7345
NGC4254,1910773,[DSB94] 308
NGC4254,1910773,EVCC 319
NGC4254,1910773,GB6 B1216+1442
NGC4254,1910773,GLEAM J121850+142515
NGC4254,1910773,HIPASS J1218+14
NGC4254,1910773,IRAS 12162+1441
NGC4254,1910773,IRAS F12163+1441
NGC4254,1910773,JCMTSE J121849.6+142502
NGC4254,1910773,LEDA   39578
NGC4254,1910773,[M98c] 121616.9+144146
NGC4254,1910773,M  99
NGC4254,1910773,MCG+03-31-099
NGC4254,1910773,MITG J121849+1424
NGC4254,1910773,MRC 1216+146
NGC4254,1910773,NAIC 1216+147
NGC4254,1910773,NAICGB 1216+147
NGC4254,1910773,NAME Coma Pinwheel
NGC4254,1910773,NAME Virgo Cluster Pinwheel
NGC4254,1910773,NGC  4254
NGC4254,1910773,[NKB95] N4254
NGC4254,1910773,NVSS B121617+144129
NGC4254,1910773,NVSS J121850+142450
NGC4254,1910773,PCCS1 545 G270.36+75.19
NGC4254,1910773,PCCS1 857 G270.45+75.20
NGC4254,1910773,PSCz Q12162+1441
NGC4254,1910773,SDSS J121849.60+142459.4
NGC4254,1910773,UGC  7345
NGC4254,1910773,UZC J121849.6+142501
NGC4254,1910773,VCC  307
NGC4254,1910773,[VDD93] 153
NGC4254,1910773,VLSS J1218.8+1424
NGC4254,1910773,WB 1216+1442
NGC4254,1910773,[YOF95]  67
NGC4254,1910773,Z 1216.3+1442
NGC4254,1910773,Z  98-144
NGC4254,1910773,Z  99-11
NGC4189,1910847,2MASX J12134727+1325294
NGC4189,1910847,ALFALFA 1-175
NGC4189,1910847,CAIRNS J121347.27+132529.3
NGC4189,1910847,[CHM2007] HDC  702 J121347.27+1325294
NGC4189,1910847,[CHM2007] LDC  904 J121347.27+1325294
NGC4189,1910847,EVCC 186
NGC4189,1910847,Gaia DR3 3920635955278612352
NGC4189,1910847,[HDL96]  69 156
NGC4189,1910847,IC 3050
NGC4189,1910847,IRAS 12112+1342
NGC4189,1910847,IRAS F12112+1342
NGC4189,1910847,KUG 1211+137
NGC4189,1910847,LEDA   39025
NGC4189,1910847,[M98c] 121113.9+134217
NGC4189,1910847,MCG+02-31-054
NGC4189,1910847,NGC  4189
NGC4189,1910847,NVSS B121115+134211
NGC4189,1910847,PCCS1 545 G268.38+73.71
NGC4189,1910847,PCCS1 857 G268.39+73.70
NGC4189,1910847,PSCz Q12112+1342
NGC4189,1910847,QDOT B1211147+134210
NGC4189,1910847,SDSS J121347.26+132529.2
NGC4189,1910847,UGC  7235
NGC4189,1910847,UZC J121347.6+132533
NGC4189,1910847,VCC   89
NGC4189,1910847,[YOF95]  29
NGC4189,1910847,Z 1211.3+1342
NGC4189,1910847,Z  69-92
NGC4222,1910953,2MASX J12162252+1318254
NGC4222,1910953,2MFGC 9670
NGC4222,1910953,ALFALFA 1-218
NGC4222,1910953,[BEC2010] HRS  98
NGC4222,1910953,CAIRNS J121622.64+131826.0
NGC4222,1910953,[CHM2007] HDC  708 J121622.52+1318254
NGC4222,1910953,[CHM2007] LDC  904 J121622.52+1318254
NGC4222,1910953,EVCC 2048
NGC4222,1910953,FGC 1396
NGC4222,1910953,[HDL96]  69 191
NGC4222,1910953,IC 3087
NGC4222,1910953,IRAS 12138+1334
NGC4222,1910953,IRAS F12138+1335
NGC4222,1910953,ISOSS J12163+1318
NGC4222,1910953,LEDA   39308
NGC4222,1910953,[M98c] 121349.9+133511
NGC4222,1910953,MCG+02-31-075
NGC4222,1910953,NGC  4222
NGC4222,1910953,NVSS B121350+133505
NGC4222,1910953,PCCS1 545 G270.53+73.94
NGC4222,1910953,PCCS1 857 G270.58+73.91
NGC4222,1910953,PSCz Q12138+1334
NGC4222,1910953,RFGC 2239
NGC4222,1910953,SDSS J121622.20+131823.9
NGC4222,1910953,[SLK2000]  41
NGC4222,1910953,[SLK2004] 678
NGC4222,1910953,UGC  7291
NGC4222,1910953,UZC J121622.7+131826
NGC4222,1910953,VCC  187
NGC4222,1910953,[YOF95]  50
NGC4222,1910953,Z 1213.9+1335
NGC4222,1910953,Z  69-119
NGC4216,1910956,1E 1213.3+1324
NGC4216,1910956,2MASX J12155444+1308578
NGC4216,1910956,2MFGC 9663
NGC4216,1910956,ADBS J121555+1308
NGC4216,1910956,ALFALFA 1-213
NGC4216,1910956,[BEC2010] HRS  97
NGC4216,1910956,CAIRNS J121554.39+130858.3
NGC4216,1910956,[CHM2007] HDC  708 J121554.44+1308578
NGC4216,1910956,[CHM2007] LDC  904 J121554.44+1308578
NGC4216,1910956,EQ 1213+134
NGC4216,1910956,EVCC 236
NGC4216,1910956,[HDL96]  69 182
NGC4216,1910956,IRAS 12133+1325
NGC4216,1910956,IRAS F12133+1325
NGC4216,1910956,LEDA   39246
NGC4216,1910956,[M98c] 121320.3+132538
NGC4216,1910956,MCG+02-31-072
NGC4216,1910956,NGC  4216
NGC4216,1910956,NVSS B121321+132538
NGC4216,1910956,PCCS1 545 G270.44+73.74
NGC4216,1910956,PCCS1 857 G270.46+73.72
