zeta_external_pressure,Q_P_over_Q_g
0.13712724343984,0.9377681268718763
0.14141701702890233,0.9360042668081295
0.14584098829439857,0.934195612461858
0.15040335536380245,0.9323413161094772
0.15510844769528398,0.9304405299817564
0.1599607301861488,0.9284924072786165
0.16496480740980207,0.9264961032344274
0.17012542798525893,0.9244507762339766
0.17544748908334595,0.9223555889791115
0.18093604107387165,0.9202097097058709
0.1865962923181746,0.9180123134517211
0.192433614111598,0.915762583372298
0.19845354578058033,0.9134597121068403
0.20466179993919897,0.911102903191247
0.21106426791015548,0.9086913725174552
0.2176670253153459,0.9062243498375656
0.22447633784132237,0.9037010803108717
0.23149866718511608,0.9011208260916692
0.2387406771860647,0.8984828679554263
0.24620924014946255,0.8957865069605995
0.25391144336803473,0.8930310661430725
0.26185459584742327,0.8902158922398876
0.2700462352420682,0.887340357438621
0.2784941350080644,0.8844038611484449
0.28720631177978284,0.8814058317885969
0.29619103297725535,0.8783457285896763
0.30545682465154317,0.8752230434028717
0.3150124795755328,0.872037302511931
0.32486706558783746,0.8687880684423952
0.335029934197723,0.8654749417623457
0.34551072945922184,0.8620975628686506
0.3563193971228586,0.8586556137524576
0.367466194073669,0.8551488197374659
0.3789616980644718,0.8515769511843069
0.3908168177536266,0.8479398251542029
0.40304280305680523,0.8442373070249334
0.415651255822599,0.8404693120520341
0.42865414084209275,0.8366358068680849
0.4420637972028532,0.832736810912911
0.45589294999810615,0.8287723977875341
0.47015472240221323,0.8247426965247556
0.48486264812390806,0.8206478927693545
0.5000306842491092,0.8164882298610203
0.5156732244854966,0.8122640098133275
0.53180511282142,0.8079755941822935
0.5484416576121018,0.8036234048183453
0.5655986461065005,0.7992079244958405
0.5832923594286203,0.7947296974146789
0.6015395880274835,0.7901893295689452
0.6203576476104271,0.7855874889780036
0.6397643955748427,0.7809249057759651
0.6597782479539537,0.7762023721559991
0.6804181968927098,0.7714207421665471
0.7017038286703826,0.7665809313571138
0.7236553422869654,0.7616839162719607
0.7462935686310134,0.7567307337907029
0.7696399902471158,0.7517224803155025
0.7937167617217551,0.7466603108052708
0.8185467307069029,0.7415454376580053
0.8441534596012985,0.7363791294431272
0.8705612479099865,0.7311627094864053
0.8977951553033323,0.725897554310784
0.9258810253973955,0.7205850919371379
0.9548455102782294,0.7152268000496812
0.9847160957933774,0.7098242040314205
1.0155211276345681,0.7043788748757022
1.0472898382363585,0.6988924269804999
1.080052374516253,0.6933665158326773
1.1138398264826195,0.6878028355899839
1.1486842567375537,0.6822031165690307
1.1846187309026837,0.6765691226479243
1.2216773489967918,0.6709026485926234
1.2598952777950272,0.6652055173163978
1.2993087842004158,0.659479577082042
1.3399552696593384,0.6537266986566975
1.381873305653632,0.6479487724292784
1.4251026703029979,0.6421477055005804
1.469684386112446,0.636325418756169
1.5156607589006028,0.6304838439321028
1.5630754179458157,0.6246249206834453
1.6119733573881572,0.6187505936653598
1.6624009789266119,0.6128628096363664
1.7144061358519702,0.6069635145930709
1.7680381784572068,0.6010546509453619
1.8233480008684404,0.595138154740704
1.8803880893409146,0.5892159529457512
1.939212572065829,0.5832899607930647
1.999877270535285,0.5773620792002345
2.0624397525140905,0.5714341922682071
2.1269593866686898,0.5655081648650842
2.1934973989050577,0.5595858403011119
2.2621169304690243,0.5536690381000141
2.3328830978641557,0.5477595518712465
2.4058630546440645,0.5418591472871714
2.481126055137768,0.5359695601685682
2.5587435201685893,0.5300924946813147
2.6387891048289345,0.5242296216465074
2.7213387683753085,0.5183825769657182
2.8064708463098387,0.5125529601625477
2.8942661247167516,0.506742333041096
2.9848079169243276,0.5009522184614658
3.07818214256508,0.49518409923192414
3.1744774091091936,0.4894394171168838
3.2737850959485773,0.4837195719594307
3.37619944111134,0.4780259209167122
3.4818176306889663,0.472359777806125
3.590739891061055,0.4667224125598877
3.7030695840051413,0.4611150507852677
3.818913304781854,0.45553887342743965
3.938380983288489,0.4499950165317026
4.061585988376979,0.444484571101549
4.188645235435271,0.43900858304888746
4.319679297334174,0.433568053232555
4.454812518844989,0.4281639375811132
4.594173134636477,0.42279714729581774
4.737893390963144,0.417468549129564
4.886109671160326,0.4121789657375557
5.0389626250651505,0.40692917609540913
5.196597302486198,0.40171991598039436
5.359163290848515,0.39655187851152496
5.526814857144603,0.39142571474423676
5.699711094326076,0.38634203431544484
5.878016072274912,0.3813014061348294
6.061898993497572,0.37630435911828225
6.251534353689712,0.37135138295953574
6.44710210732387,0.3664429289361012
6.648787838417263,0.36157941074575584
6.856782936641738,0.3567612053699422
7.071284778942996,0.35198865396057316
7.292496916841444,0.34726206274687194
7.520629269592407,0.3425817039590206
7.755898323389002,0.3379478167655311
7.998527336796708,0.3333606082214077
8.24874655261458,0.3288202542243127
8.506793416364154,0.32432690047610413
8.772912801613357,0.3198806634472606
9.047357242349293,0.31548163134186086
9.33038717262036,0.31112986506093226
9.622271173675134,0.3068253991621315
9.923286228832545,0.30256824281385997
10.233717986325193,0.2983583807420617
10.55386103036523,0.2941957741680847
10.884019160690055,0.29008036173612045
11.224505680853058,0.28601206042886634
11.575643695533035,0.28199076647017696
11.937766417144358,0.27801635621359166
12.311217482038908,0.2740886870157387
12.69635127659974,0.27020759809372685
13.093533273536108,0.2663729113657365
13.503140378698735,0.26258443227412587
13.925561288744634,0.2588419505904575
14.361196859990788,0.2551452412019406
14.810460488806754,0.2514940648788693
15.27377850390714,0.2478881690227131
15.751590570916228,0.24432728839459208
16.24435010958867,0.2408111458239359
16.752524724082154,0.2373394528971918
17.276596646690365,0.23391191062650457
17.817063195457308,0.2305282100983483
18.374437246107266,0.22718803310213928
18.949247718738217,0.22389105273890722
19.542040079740534,0.22063693401014473
20.15337685941733,0.2174253343869935
20.783838185797574,0.21425590435996225
21.434022335148565,0.2111282879694031
22.104546299710215,0.20804212331700195
22.796046373189796,0.20499704305856473
23.50917875457287,0.20199267487840464
24.244620170823282,0.19902864194565464
25.003068519063238,0.19610456335284868
25.785243528842738,0.19322005453712945
26.591887445126936,0.19037472768445438
27.423765732649496,0.1875681921171817
28.281667802300323,0.18480005466542856
29.16640776023704,0.18206992002259892
30.07882518043099,0.17937739108548673
31.019785901380967,0.17672206927936163
31.99018284775064,0.17410355486844845
32.99093687770939,0.1715214472522127
34.02299765678068,0.1689753452478644
35.087344559027116,0.16646484735949138
36.18498759642746,0.16398955203423127
37.31696837732752,0.16154905790588897
38.48436109487429,0.15914296402640185
39.68827354637162,0.1567708700855512
40.92984818452438,0.15443237661931303
