eta_kappaH_over_cR,x_critical,Q_critical
1.220883534136546,0.6282064219303461,0.5098481075293904
1.2289156626506024,0.6272492764998697,0.5083969313486849
1.2369477911646585,0.6262983732137227,0.5069552279453752
1.2449799196787148,0.6253536389758731,0.5055228966100793
1.253012048192771,0.6244150019288748,0.5040998381440384
1.2610441767068272,0.6234823914263954,0.5026859548295922
1.2690763052208833,0.6225557380064964,0.5012811504013672
1.2771084337349397,0.6216349733656418,0.49988533001816116
1.285140562248996,0.6207200303334103,0.49849840023549985
1.293172690763052,0.6198108428478911,0.4971202689788511
1.3012048192771084,0.6189073459317377,0.49575084551747156
1.3092369477911645,0.6180094756688623,0.49439004043887497
1.3172690763052208,0.6171171691817475,0.4930377656238984
1.325301204819277,0.6162303646093583,0.491693934222354
1.3333333333333333,0.6153490010856328,0.4903584606292468
1.3413654618473894,0.6144730187185375,0.48903126046154494
1.3493975903614457,0.6136023585696643,0.48771225053548595
1.3574297188755018,0.6127369626343578,0.4864013488444044
1.3654618473895581,0.6118767738223533,0.48509847453706634
1.3734939759036144,0.6110217359389098,0.4838035478964983
1.3815261044176705,0.6101717936664258,0.48251649031929505
1.3895582329317269,0.6093268925465194,0.4812372242953936
1.397590361445783,0.6084869789625617,0.4799656733883037
1.4056224899598393,0.6076520001226486,0.4787017622157787
1.4136546184738954,0.6068219040429981,0.4774454164309169
1.4216867469879517,0.6059966395317599,0.4761965627036826
1.4297188755020078,0.6051761561732267,0.47495512870283346
1.4377510040160641,0.6043604043124335,0.47372104307824686
1.4457831325301203,0.6035493350401346,0.4724942354436308
1.4538152610441766,0.602742900178147,0.471274636359613
1.461847389558233,0.6019410522650503,0.4700621773171956
1.469879518072289,0.6011437445422309,0.46885679072156733
1.4779116465863453,0.6003509309402624,0.4676584098762643
1.4859437751004014,0.599562566065613,0.4664669689676692
1.4939759036144578,0.5987786051876677,0.46528240304984086
1.5020080321285139,0.5979990042260599,0.4641046480296663
1.5100401606425702,0.5972237197383012,0.4629336406523264
1.5180722891566263,0.5964527089077022,0.4617693184870676
1.5261044176706826,0.5956859295315757,0.4606116199132714
1.5341365461847387,0.5949233400097147,0.4594604841068155
1.542168674698795,0.5941648993331373,0.4583158510267174
1.5502008032128514,0.593410567073092,0.45717766140205557
1.5582329317269075,0.5926603033703142,0.45604585671915965
1.5662650602409638,0.5919140689245295,0.4549203792090636
1.57429718875502,0.5911718249841963,0.4538011718352163
1.5823293172690762,0.5904335333364793,0.4526881782814409
1.5903614457831323,0.5896991562974512,0.45158134294014096
1.5983935742971886,0.5889686567025131,0.45048061090074143
1.6064257028112447,0.58824199789703,0.44938592793836624
1.614457831325301,0.5875191437271744,0.4482972405027392
1.6224899598393572,0.5868000585309737,0.44721449570730926
1.6305220883534135,0.5860847071295542,0.4461376413185901
1.6385542168674698,0.5853730548185786,0.4450666257457129
1.646586345381526,0.5846650673598706,0.4440013980301831
1.6546184738955823,0.5839607109732217,0.44294190783584003
1.6626506024096384,0.583259952328377,0.4418881054390131
1.6706827309236947,0.5825627585371929,0.440839941718869
1.6787148594377508,0.5818690971459641,0.43979736814794756
1.686746987951807,0.5811789361279159,0.43876033678288
1.6947791164658632,0.5804922438758556,0.4377288002552874
1.7028112449799195,0.5798089891949807,0.4367027117628521
1.7108433734939756,0.579129141295839,0.43568202506056203
1.718875502008032,0.5784526697874381,0.43466669445212053
1.7269076305220883,0.5777795446704984,0.43365667478152015
1.7349397590361444,0.5771097363308478,0.4326519214247757
1.7429718875502007,0.5764432155329541,0.4316523902818132
1.7510040160642568,0.5757799534135909,0.4306580377685109
1.7590361445783131,0.5751199214756355,0.42966882080889035
1.7670682730923692,0.5744630915819933,0.4286846968274516
1.7751004016064256,0.5738094359496472,0.4277056237416516
1.7831325301204817,0.5731589271438288,0.42673155995452267
1.791164658634538,0.5725115380723077,0.42576246434742554
1.799196787148594,0.5718672419797964,0.42479829627293664
1.8072289156626504,0.5712260124424684,0.42383901554786557
1.8152610441767068,0.5705878233625862,0.4228845824463998
1.8232931726907629,0.5699526489632374,0.42193495769337425
1.8313253012048192,0.5693204637831748,0.42099010245766233
1.8393574297188753,0.5686912426717596,0.4200499783456871
1.8473895582329316,0.568064960784005,0.4191145473950488
1.8554216867469877,0.5674415935757167,0.4181837720682664
1.863453815261044,0.5668211167987294,0.4172576152466316
1.8714859437751001,0.566203506496236,0.4163360402241717
1.8795180722891565,0.5655887389982084,0.41541901070171955
1.8875502008032128,0.5649767909169069,0.41450649078108975
1.8955823293172689,0.5643676391424762,0.41359844495935505
1.9036144578313252,0.563761260838627,0.4126948381232251
1.9116465863453813,0.5631576334393996,0.41179563554352394
1.9196787148594376,0.5625567346410085,0.41090080286976205
1.9277108433734937,0.5619585424037681,0.41001030612480366
1.93574297188755,0.5613630349440926,0.4091241116996277
1.9437751004016062,0.5607701907315744,0.4082421863481767
1.9518072289156625,0.5601799884851348,0.4073644971822967
1.9598393574297186,0.5595924071692473,0.4064910116667627
1.967871485943775,0.5590074259902317,0.40562169761438915
1.9759036144578312,0.5584250243926259,0.4047565231812244
1.9839357429718874,0.5578451820556665,0.40389545686182665
1.9919678714859437,0.5572678788895912,0.40303846748461936
2.0,0.5566930950324056,0.4021855242073249
