time_Myr,case1_gas_ratio,case1_SFR_ratio,case2_gas_ratio,case2_SFR_ratio,case3_gas_ratio,case3_SFR_ratio
378.0,0.8985400911930379,1.7970801823860758,0.44646227097325947,0.8929245419465189,0.25041390299245636,0.27545529329170204
378.5,0.8984205470981909,1.7968410941963817,0.446032149660423,0.892064299320846,0.25002218108445046,0.2750243991928955
379.0,0.8983010388611933,1.7966020777223866,0.44560258714199813,0.8912051742839963,0.24963130633699326,0.27459443697069263
379.5,0.8981815664712894,1.7963631329425789,0.4451735826920242,0.8903471653840483,0.24924127691796605,0.2741654046097627
380.0,0.8980621299177269,1.7961242598354539,0.4447451355854834,0.8894902711709668,0.24885209099921252,0.2737373000991338
380.5,0.8979427291897563,1.7958854583795125,0.44431724509830023,0.8886344901966005,0.24846374675653,0.27331012143218303
381.0,0.8978233642766316,1.7956467285532631,0.4438899105073395,0.887779821014679,0.24807624236966086,0.27288386660662695
381.5,0.8977040351676099,1.7954080703352198,0.4434631310904057,0.8869262621808114,0.24768957602228428,0.2724585336245127
382.0,0.8975847418519516,1.7951694837039032,0.4430369061262416,0.8860738122524832,0.24730374590200727,0.272034120492208
382.5,0.8974654843189205,1.794930968637841,0.44261123489452675,0.8852224697890535,0.24691875020035656,0.27161062522039225
383.0,0.897346262557783,1.794692525115566,0.4421861166758768,0.8843722333517536,0.24653458711277002,0.27118804582404704
383.5,0.8972270765578096,1.7944541531156193,0.4417615507518418,0.8835231015036836,0.24615125483858805,0.2707663803224469
384.0,0.8971079263082733,1.7942158526165466,0.4413375364049053,0.8826750728098106,0.24576875158104536,0.2703456267391499
384.5,0.8969888117984507,1.7939776235969014,0.4409140729184829,0.8818281458369658,0.24538707554726238,0.26992578310198867
385.0,0.8968697330176214,1.7937394660352428,0.44049115957692114,0.8809823191538423,0.245006224948237,0.26950684744306075
385.5,0.8967506899550683,1.7935013799101367,0.44006879566549645,0.8801375913309929,0.24462619799883611,0.26908881779871974
386.0,0.8966316826000775,1.793263365200155,0.4396469804704138,0.8792939609408276,0.24424699291778715,0.2686716922095659
386.5,0.8965127109419386,1.7930254218838773,0.4392257132788053,0.8784514265576105,0.2438686079276699,0.26825546872043693
387.0,0.8963937749699438,1.7927875499398875,0.4388049933787293,0.8776099867574586,0.24349104125490809,0.2678401453803989
387.5,0.8962748746733891,1.7925497493467781,0.43838482005916907,0.8767696401183381,0.24311429112976107,0.2674257202427372
388.0,0.8961560100415733,1.7923120200831466,0.43796519261003153,0.8759303852200631,0.24273835578631553,0.2670121913649471
388.5,0.8960371810637987,1.7920743621275974,0.43754611032214646,0.8750922206442929,0.24236323346247726,0.266599556808725
389.0,0.8959183877293706,1.7918367754587412,0.4371275724872644,0.8742551449745288,0.24198892239996284,0.26618781463995916
389.5,0.8957996300275979,1.7915992600551958,0.4367095783980564,0.8734191567961128,0.24161542084429138,0.26577696292872055
390.0,0.8956809079477919,1.7913618158955837,0.43629212734811246,0.8725842546962249,0.24124272704477645,0.2653669997492541
390.5,0.895562221479268,1.791124442958536,0.43587521863194,0.87175043726388,0.2408708392545176,0.2649579231799694
391.0,0.8954435706113444,1.7908871412226888,0.4354588515449634,0.8709177030899268,0.24049975573039242,0.2645497313034317
391.5,0.8953249553333422,1.7906499106666844,0.4350430253835221,0.8700860507670442,0.24012947473304827,0.26414242220635314
392.0,0.8952063756345864,1.7904127512691728,0.4346277394448697,0.8692554788897394,0.23975999452689412,0.2637359939795835
392.5,0.8950878315044046,1.7901756630088093,0.434212993027173,0.868425986054346,0.23939131338009242,0.2633304447181017
393.0,0.8949693229321279,1.7899386458642559,0.43379878542951045,0.8675975708590209,0.23902342956455097,0.2629257725210061
393.5,0.8948508499070906,1.7897016998141813,0.43338511595187096,0.8667702319037419,0.23865634135591499,0.2625219754915065
