Galaxy,MAUVE_stage,MAUVE_stage_label,DEF_K18,R_M87_K18_mpc,Ropt_K18_kpc,vrot_K18_kms,p_loc_K18,p_cfg_K18,p_def_K18,r_HI_iso_K18_kpc,in_K18_catalogue,K18_input_source,VCC_GoldMine_live,distance_GoldMine_live_mpc,Aradius_GoldMine_live_arcsec,inclination_GoldMine_live_deg,logMHI_GoldMine_live,W50_GoldMine_live_kms,WIDTHA_GoldMine_live_kms,GoldMine_live_audit_note,DEF_ModelA,R_M87_ModelA_mpc,Ropt_ModelA_kpc,vrot_ModelA_kms,modelA_computable,modelA_input_status,MHI_GoldMine_field_used,vrot_ModelA_derivation
NGC4450,3.0,post-peak,0.75,3.4,12.3,207.2,0.02,0.82,2.03,6.8,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.75,3.4,12.3,207.2,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
IC3392,3.0,post-peak,1.21,0.79,7.2,111.0,0.34,,6.08,,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,1.21,0.79,7.2,111.0,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4457,3.0,post-peak,,,,,,,,,False,not present in Koppen2018 Appendix E,1145.0,17.0,175.2,0.0,8.35,,172.0,"GoldMine MHI_GM and WIDTHA exist, but inclination=0 prevents Köppen vrot",0.7369987304463486,2.6179947395,7.219845339086581,,False,GoldMine record present but vrot undefined because inclination=0,MHI_GM,not computable: WIDTHA/sin(incl) with incl=0
NGC4548,3.0,post-peak,0.73,0.71,14.8,206.4,0.41,0.36,1.39,10.7,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.73,0.71,14.8,206.4,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4569,3.0,post-peak,1.05,0.49,26.5,215.9,0.8,0.49,1.69,9.4,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,1.05,0.49,26.5,215.9,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4579,3.0,post-peak,0.81,0.53,15.6,278.6,0.7,0.86,3.05,9.4,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.81,0.53,15.6,278.6,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4580,3.0,post-peak,1.23,5.81,6.9,138.5,0.0,2.39,10.92,2.0,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,1.23,5.81,6.9,138.5,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4606,3.0,post-peak,1.76,3.03,14.8,76.7,0.02,0.67,3.75,1.5,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,1.76,3.03,14.8,76.7,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4607,3.0,post-peak,0.97,0.77,9.8,91.5,0.36,0.3,1.21,4.7,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.97,0.77,9.8,91.5,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4689,3.0,post-peak,0.81,1.29,14.5,137.3,0.13,0.36,0.83,6.8,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.81,1.29,14.5,137.3,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4698,3.0,post-peak,0.25,1.73,14.0,236.6,0.07,0.09,0.34,20.2,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.25,1.73,14.0,236.6,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
