b,SFR_Msun_per_yr,epsilon_per_Gyr,gas_to_stellar_mass,Z_mass_fraction,age_Gyr,inflow_Msun_per_yr
1.000000000000000000e+00,3.681677288532409875e+01,7.345911949685535181e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.502882175329056214e+00,3.985759059686213135e+01
1.000000000000000000e+00,3.694285772397247314e+01,7.371069182389937691e-01,1.000000000000000222e+00,9.449665407536783288e-03,3.490926946061720937e+00,3.999408919479659374e+01
1.000000000000000000e+00,3.706894256262084042e+01,7.396226415094340201e-01,1.000000000000000222e+00,9.449665407536783288e-03,3.479053044884639956e+00,4.013058779273104903e+01
1.000000000000000000e+00,3.719502740126920770e+01,7.421383647798742711e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.467259644732489487e+00,4.026708639066550433e+01
1.000000000000000000e+00,3.732111223991758209e+01,7.446540880503145221e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.455545929716501430e+00,4.040358498859996672e+01
1.000000000000000000e+00,3.744719707856594937e+01,7.471698113207547731e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.443911094936311201e+00,4.054008358653442912e+01
1.000000000000000000e+00,3.757328191721432376e+01,7.496855345911950241e-01,1.000000000000000222e+00,9.449665407536783288e-03,3.432354346295584335e+00,4.067658218446889151e+01
1.000000000000000000e+00,3.769936675586269104e+01,7.522012578616352751e-01,1.000000000000000222e+00,9.449665407536783288e-03,3.420874900321351664e+00,4.081308078240334680e+01
1.000000000000000000e+00,3.782545159451105832e+01,7.547169811320755262e-01,9.999999999999998890e-01,9.449665407536783288e-03,3.409471983986948285e+00,4.094957938033779499e+01
1.000000000000000000e+00,3.795153643315943270e+01,7.572327044025157772e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.398144834538486148e+00,4.108607797827226449e+01
1.000000000000000000e+00,3.807762127180779999e+01,7.597484276729560282e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.386892699324782541e+00,4.122257657620671978e+01
1.000000000000000000e+00,3.820370611045617437e+01,7.622641509433962792e-01,1.000000000000000222e+00,9.449665407536783288e-03,3.375714835630641009e+00,4.135907517414118928e+01
1.000000000000000000e+00,3.832979094910454165e+01,7.647798742138365302e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.364610510513435404e+00,4.149557377207564457e+01
1.000000000000000000e+00,3.845587578775290893e+01,7.672955974842767812e-01,9.999999999999998890e-01,9.449665407536783288e-03,3.353579000642900265e+00,4.163207237001009275e+01
1.000000000000000000e+00,3.858196062640128332e+01,7.698113207547170322e-01,1.000000000000000222e+00,9.449665407536783288e-03,3.342619592144065788e+00,4.176857096794456226e+01
1.000000000000000000e+00,3.870804546504965060e+01,7.723270440251572833e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.331731580443271667e+00,4.190506956587901755e+01
1.000000000000000000e+00,3.883413030369802499e+01,7.748427672955975343e-01,1.000000000000000222e+00,9.449665407536783288e-03,3.320914270117156342e+00,4.204156816381347994e+01
1.000000000000000000e+00,3.896021514234639227e+01,7.773584905660377853e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.310166974744609636e+00,4.217806676174793523e+01
1.000000000000000000e+00,3.908629998099475955e+01,7.798742138364780363e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.299489016761562699e+00,4.231456535968239763e+01
1.000000000000000000e+00,3.921238481964313394e+01,7.823899371069182873e-01,1.000000000000000222e+00,9.449665407536783288e-03,3.288879727318598789e+00,4.245106395761686002e+01
1.000000000000000000e+00,3.933846965829150122e+01,7.849056603773585383e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.278338446141296103e+00,4.258756255555131531e+01
1.000000000000000000e+00,3.946455449693987561e+01,7.874213836477987893e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.267864521393240906e+00,4.272406115348577771e+01
1.000000000000000000e+00,3.959063933558824289e+01,7.899371069182390404e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.257457309541670121e+00,4.286055975142023300e+01
1.000000000000000000e+00,3.971672417423661017e+01,7.924528301886792914e-01,1.000000000000000000e+00,9.449665407536783288e-03,3.247116175225664758e+00,4.299705834935468829e+01
1.000000000000000000e+00,3.984280901288498455e+01,7.949685534591195424e-01,1.000000000000000222e+00,9.449665407536783288e-03,3.236840491126848907e+00,4.313355694728915779e+01
