log_Sigma_M,log_Sigma_SFR,O_H,Delta_log_Sigma_SFR,Delta_O_H
7.763833461485109,-3.4384059687301063,8.51760425129279,-0.9159203437777093,-0.023175410110210848
7.763833461485109,-3.4384059687301063,8.51760425129279,-0.9159203437777093,-0.023175410110210848
7.763833461485109,-3.4384059687301063,8.51760425129279,-0.9159203437777093,-0.023175410110210848
7.763833461485109,-3.4384059687301063,8.51760425129279,-0.9159203437777093,-0.023175410110210848
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
7.654651312359805,-3.4264149388913117,8.54459433775219,-0.9039293139389146,0.0038146763491901936
