stage,variable,bin_left,bin_right,center,category,N_gal_usable,j_mean,in_fixed_reliable_range
close-to-peak,radius_re,5.0,5.25,5.125,NSF,0,,False
close-to-peak,radius_re,5.0,5.25,5.125,ND,0,,False
close-to-peak,radius_re,5.25,5.5,5.375,SF,0,,False
close-to-peak,radius_re,5.25,5.5,5.375,NSF,0,,False
close-to-peak,radius_re,5.25,5.5,5.375,ND,0,,False
close-to-peak,radius_re,5.5,5.75,5.625,SF,0,,False
close-to-peak,radius_re,5.5,5.75,5.625,NSF,0,,False
close-to-peak,radius_re,5.5,5.75,5.625,ND,0,,False
close-to-peak,radius_re,5.75,6.0,5.875,SF,0,,False
close-to-peak,radius_re,5.75,6.0,5.875,NSF,0,,False
close-to-peak,radius_re,5.75,6.0,5.875,ND,0,,False
close-to-peak,radius_re,6.0,6.25,6.125,SF,0,,False
close-to-peak,radius_re,6.0,6.25,6.125,NSF,0,,False
close-to-peak,radius_re,6.0,6.25,6.125,ND,0,,False
close-to-peak,radius_re,6.25,6.5,6.375,SF,0,,False
close-to-peak,radius_re,6.25,6.5,6.375,NSF,0,,False
close-to-peak,radius_re,6.25,6.5,6.375,ND,0,,False
close-to-peak,radius_re,6.5,6.75,6.625,SF,0,,False
close-to-peak,radius_re,6.5,6.75,6.625,NSF,0,,False
close-to-peak,radius_re,6.5,6.75,6.625,ND,0,,False
close-to-peak,radius_re,6.75,7.0,6.875,SF,0,,False
close-to-peak,radius_re,6.75,7.0,6.875,NSF,0,,False
close-to-peak,radius_re,6.75,7.0,6.875,ND,0,,False
close-to-peak,radius_re,7.0,7.25,7.125,SF,0,,False
close-to-peak,radius_re,7.0,7.25,7.125,NSF,0,,False
close-to-peak,radius_re,7.0,7.25,7.125,ND,0,,False
close-to-peak,radius_re,7.25,7.5,7.375,SF,0,,False
close-to-peak,radius_re,7.25,7.5,7.375,NSF,0,,False
close-to-peak,radius_re,7.25,7.5,7.375,ND,0,,False
close-to-peak,radius_re,7.5,7.75,7.625,SF,0,,False
close-to-peak,radius_re,7.5,7.75,7.625,NSF,0,,False
close-to-peak,radius_re,7.5,7.75,7.625,ND,0,,False
close-to-peak,radius_re,7.75,8.0,7.875,SF,0,,False
close-to-peak,radius_re,7.75,8.0,7.875,NSF,0,,False
close-to-peak,radius_re,7.75,8.0,7.875,ND,0,,False
post-peak,log_sigma_star,5.75,6.0,5.875,SF,0,,False
post-peak,log_sigma_star,5.75,6.0,5.875,NSF,0,,False
post-peak,log_sigma_star,5.75,6.0,5.875,ND,0,,False
post-peak,log_sigma_star,6.0,6.25,6.125,SF,0,,False
post-peak,log_sigma_star,6.0,6.25,6.125,NSF,0,,False
post-peak,log_sigma_star,6.0,6.25,6.125,ND,0,,False
post-peak,log_sigma_star,6.25,6.5,6.375,SF,0,,False
post-peak,log_sigma_star,6.25,6.5,6.375,NSF,0,,False
post-peak,log_sigma_star,6.25,6.5,6.375,ND,0,,False
post-peak,log_sigma_star,6.5,6.75,6.625,SF,0,,False
post-peak,log_sigma_star,6.5,6.75,6.625,NSF,0,,False
post-peak,log_sigma_star,6.5,6.75,6.625,ND,0,,False
post-peak,log_sigma_star,6.75,7.0,6.875,SF,1,0.0,False
post-peak,log_sigma_star,6.75,7.0,6.875,NSF,1,0.0,False
post-peak,log_sigma_star,6.75,7.0,6.875,ND,1,1.375188011116249e+37,False
post-peak,log_sigma_star,7.0,7.25,7.125,SF,5,0.0,True
post-peak,log_sigma_star,7.0,7.25,7.125,NSF,5,2.7891720556221576e+36,True
post-peak,log_sigma_star,7.0,7.25,7.125,ND,5,1.0019390947178028e+37,True
post-peak,log_sigma_star,7.25,7.5,7.375,SF,11,8.880131939885975e+36,True
