stage,variable,center,metric,delta,lo,hi,n_target,n_pre,finite_draw_fraction
close-to-peak,log_sigma_star,8.625,T,-0.08763867492079291,-0.4686548639940502,0.17120126515411188,5,7,1.0
close-to-peak,log_sigma_star,8.625,F_SF,0.07668051574818527,-0.07583592259856176,0.23870493659469189,5,7,1.0
close-to-peak,log_sigma_star,8.625,F_NSF,-0.09307158092687612,-0.27261343428426016,0.07825584785144941,5,7,1.0
close-to-peak,log_sigma_star,8.625,I_NSF,-0.22979817257318302,-0.45229605687381225,0.13546374359680044,5,6,1.0
close-to-peak,log_sigma_star,8.625,J_NSF,-0.29085188246112637,-0.5002905715340173,0.04265703548210892,5,7,1.0
close-to-peak,log_sigma_star,8.625,HA6562,-0.23361930700638567,-0.45284566276491317,0.1205415007421351,5,6,1.0
close-to-peak,log_sigma_star,8.625,HB4861,-0.23355901004970292,-0.45274367279721356,0.12060054290105057,5,6,1.0
close-to-peak,log_sigma_star,8.625,OIII5006,-0.5166728573373192,-0.7262464688281451,-0.08341159404747574,5,6,1.0
close-to-peak,log_sigma_star,8.625,NII6583,-0.16524579019807817,-0.294061553427172,-0.015235449881383268,5,6,1.0
close-to-peak,log_sigma_star,8.625,SII_SUM,-0.22404506409768743,-0.41670001845231835,0.09901327732369901,5,6,1.0
close-to-peak,log_sigma_star,8.625,F_ND,-0.08578213953263814,-1.8440451430077316,0.3153870172071649,5,7,0.9201
close-to-peak,log_sigma_star,8.875,O,0.07314667798276775,-0.09489805519891711,0.26928786495117457,5,6,1.0
close-to-peak,log_sigma_star,8.875,I,-0.18904407154772485,-0.42696264064068,-0.008905068104526796,5,5,1.0
close-to-peak,log_sigma_star,8.875,T,-0.11589739356495721,-0.43075869704640407,0.16412538434447477,5,6,1.0
close-to-peak,log_sigma_star,8.875,F_SF,0.07314667798276775,-0.09489805519891711,0.26928786495117457,5,6,1.0
close-to-peak,log_sigma_star,8.875,F_NSF,-0.07347152574822313,-0.24680642041484757,0.09933397869394543,5,6,0.9995
close-to-peak,log_sigma_star,8.875,I_NSF,-0.2274742593393384,-0.631127775002023,0.20488498548350265,4,6,0.9995
close-to-peak,log_sigma_star,8.875,J_NSF,-0.23872806323086593,-0.5728925283587242,0.18882880363161517,5,6,0.9995
close-to-peak,log_sigma_star,8.875,HA6562,-0.21838686636662175,-0.6237196532562485,0.22275902309827642,4,6,0.9995
close-to-peak,log_sigma_star,8.875,HB4861,-0.21837497278371387,-0.6236102280292042,0.22271270543320576,4,6,0.9995
close-to-peak,log_sigma_star,8.875,OIII5006,-0.6595665172267289,-0.924439180892557,-0.00502367602340363,4,6,0.9995
close-to-peak,log_sigma_star,8.875,NII6583,-0.11842137070186709,-0.4038498612800905,0.1252663039910802,4,6,0.9995
close-to-peak,log_sigma_star,8.875,SII_SUM,-0.2205666347681472,-0.5104969617587284,0.20078304392526655,4,6,0.9995
close-to-peak,log_sigma_star,8.875,F_ND,-0.05313274957879033,-0.5190109631443249,0.29556070593088757,5,6,0.9026
close-to-peak,log_sigma_star,9.125,O,-0.17101121724495782,-0.35962832325772986,0.013828718592336798,4,6,0.9995
close-to-peak,log_sigma_star,9.125,I,-0.1732486519804579,-0.3448143573201499,1.6898742501652095e-05,4,5,0.9995
close-to-peak,log_sigma_star,9.125,T,-0.34425986922541585,-0.5734942540446395,-0.10795852772545295,4,6,0.9995
close-to-peak,log_sigma_star,9.125,F_SF,-0.17101121724495782,-0.35962832325772986,0.013828718592336798,4,6,0.9995
close-to-peak,log_sigma_star,9.125,F_NSF,0.11208527801672144,-0.014003618869797634,0.26063036192456834,4,6,0.9995
close-to-peak,log_sigma_star,9.125,I_NSF,-0.21090003889624143,-0.5260270143554209,0.11235764599720628,4,6,0.9995
close-to-peak,log_sigma_star,9.125,J_NSF,-0.04834657133751108,-0.40409171148297984,0.3017197878441098,4,6,0.9995
close-to-peak,log_sigma_star,9.125,HA6562,-0.20802240480707468,-0.5239433021114291,0.11798052178136942,4,6,0.9995
close-to-peak,log_sigma_star,9.125,HB4861,-0.20801710971532827,-0.5239352475153564,0.11798477927735007,4,6,0.9995
close-to-peak,log_sigma_star,9.125,OIII5006,-0.7028840687059983,-0.9745106487194355,0.007940025453635665,4,6,0.9995
close-to-peak,log_sigma_star,9.125,NII6583,-0.12675741974997123,-0.3552586779751442,0.07071193502252726,4,6,0.9995
close-to-peak,log_sigma_star,9.125,SII_SUM,-0.15941417577992212,-0.4081608384131596,0.16146405104413378,4,6,0.9995
close-to-peak,log_sigma_star,9.125,F_ND,,,,4,6,0.0
close-to-peak,log_sigma_star,9.375,O,-1.744083114803427,-1.830235745147161,-1.6349570259009811,1,6,0.6696
close-to-peak,log_sigma_star,9.375,I,-0.7491068048575817,-0.9019118157532744,-0.5281234402483113,1,5,0.6696
close-to-peak,log_sigma_star,9.375,T,-2.493189919661009,-2.6421584868108874,-2.254322930887412,1,6,0.6696
close-to-peak,log_sigma_star,9.375,F_SF,-1.744083114803427,-1.830235745147161,-1.6349570259009811,1,6,0.6696
close-to-peak,log_sigma_star,9.375,F_NSF,0.17770462484459232,0.11142225681890104,0.25488924678782904,1,6,0.6696
close-to-peak,log_sigma_star,9.375,I_NSF,-1.847822958336927,-2.0169666992325617,-1.54707713228634,1,6,0.6696
close-to-peak,log_sigma_star,9.375,J_NSF,-1.6728874658691737,-1.8293736409217516,-1.4037770467294803,1,6,0.6696
close-to-peak,log_sigma_star,9.375,HA6562,-1.8486703397007176,-2.017458399086628,-1.5472921393793797,1,6,0.6696
close-to-peak,log_sigma_star,9.375,HB4861,-1.8480293539918975,-2.016817413377808,-1.5466511536705596,1,6,0.6696
close-to-peak,log_sigma_star,9.375,OIII5006,-1.4748031608957177,-1.7429524791780793,-0.6224650618421137,1,6,0.6696
close-to-peak,log_sigma_star,9.375,NII6583,-1.1756195192543473,-1.2781867547003003,-1.0356076211022653,1,6,0.6696
close-to-peak,log_sigma_star,9.375,SII_SUM,-1.3781906657427214,-1.5280984036417706,-1.1199009749323139,1,6,0.6696
close-to-peak,log_sigma_star,9.375,F_ND,,,,1,6,0.0
close-to-peak,radius_re,0.125,O,0.011930072665216118,-0.14417452785312335,0.16298260265366613,5,8,1.0
close-to-peak,radius_re,0.125,I,-0.38511807417210553,-0.6485728422396196,0.07733034254250927,5,8,1.0
close-to-peak,radius_re,0.125,T,-0.37318800150688936,-0.6646034402126291,0.10985479806803128,5,8,1.0
close-to-peak,radius_re,0.125,F_SF,0.011930072665216118,-0.14417452785312335,0.16298260265366613,5,8,1.0
close-to-peak,radius_re,0.125,F_NSF,-0.01956640220685163,-0.18599633652320258,0.13548028773002443,5,8,1.0
close-to-peak,radius_re,0.125,I_NSF,-0.838883286892397,-1.0964097927871588,-0.2876298242054466,5,8,1.0
close-to-peak,radius_re,0.125,J_NSF,-0.7899206666997216,-1.0539769807925736,-0.21238171257816305,5,8,1.0
close-to-peak,radius_re,0.125,HA6562,-0.837746553493318,-1.094418606298791,-0.29020209934968255,5,8,1.0
close-to-peak,radius_re,0.125,HB4861,-0.837721909379276,-1.0943903467549692,-0.29019713782196965,5,8,1.0
close-to-peak,radius_re,0.125,OIII5006,-1.113006787044668,-1.4208644127305092,-0.16841764088771072,5,8,1.0
close-to-peak,radius_re,0.125,NII6583,-0.5359675881819683,-0.740057397926522,-0.22674273292293864,5,8,1.0
close-to-peak,radius_re,0.125,SII_SUM,-0.577995945665819,-0.80619812655748,-0.07797451838883349,5,8,1.0
close-to-peak,radius_re,0.125,F_ND,0.1824688341541043,0.05301715603699719,0.7073864411689903,5,8,0.6544
close-to-peak,radius_re,0.375,O,-0.11233054982706711,-0.2991076072745285,0.035985979526768005,5,8,1.0
close-to-peak,radius_re,0.375,I,-0.5458309940592796,-0.7117484852131233,-0.2708606027006797,5,8,1.0
close-to-peak,radius_re,0.375,T,-0.6581615438863468,-0.8950251764344345,-0.3618141240673351,5,8,1.0
close-to-peak,radius_re,0.375,F_SF,-0.11233054982706711,-0.2991076072745285,0.035985979526768005,5,8,1.0
close-to-peak,radius_re,0.375,F_NSF,0.17217812280252243,0.02491136622120657,0.3020173736826931,5,8,1.0
close-to-peak,radius_re,0.375,I_NSF,-0.9051222189711154,-1.167055163441316,-0.1472474766790188,5,8,1.0
close-to-peak,radius_re,0.375,J_NSF,-0.6809511370666783,-0.999865016196556,0.29634307173122865,5,8,1.0
close-to-peak,radius_re,0.375,HA6562,-0.9022277742825295,-1.1625434495485596,-0.1597590153531232,5,8,1.0
close-to-peak,radius_re,0.375,HB4861,-0.9017954904558039,-1.1620972296880523,-0.15927061734672862,5,8,1.0
close-to-peak,radius_re,0.375,OIII5006,-0.9526720268346693,-1.2354073926132156,-0.05069464458538823,5,8,1.0
close-to-peak,radius_re,0.375,NII6583,-0.5030560983323369,-0.7274895085520561,-0.0748248090192422,5,8,1.0
close-to-peak,radius_re,0.375,SII_SUM,-0.63676750950588,-0.8976181753542601,0.02622708771492909,5,8,1.0
close-to-peak,radius_re,0.375,F_ND,-0.49025437904458924,-0.8820841170477308,-0.04575975683739622,5,8,0.9866
close-to-peak,radius_re,0.625,O,-0.1007259658965931,-0.28073819333371025,0.03285274824585327,5,8,1.0
close-to-peak,radius_re,0.625,I,-0.4917683894619509,-0.6887711273905764,-0.1617274694642291,5,8,1.0
close-to-peak,radius_re,0.625,T,-0.5924943553585442,-0.8532978149350895,-0.25647605155011566,5,8,1.0
close-to-peak,radius_re,0.625,F_SF,-0.1007259658965931,-0.28073819333371025,0.03285274824585327,5,8,1.0
close-to-peak,radius_re,0.625,F_NSF,0.11849796710238453,-0.024821700194833204,0.23076634440084137,5,8,1.0
