stage,variable,center,metric,delta,lo,hi,n_target,n_pre,finite_draw_fraction
close-to-peak,radius_re,1.375,NII6583,-0.32517896877012475,-0.5284876143895059,-0.1663443033671669,5,8,1.0
close-to-peak,radius_re,1.375,SII_SUM,-0.36212486755037787,-0.5207404924250087,-0.22767937810747244,5,8,1.0
close-to-peak,radius_re,1.375,F_ND,0.3483096047727174,0.11542642334167509,0.6607391213734294,5,8,1.0
close-to-peak,radius_re,1.625,O,-0.2506433023217621,-0.46281266982435043,-0.0694446181965382,5,7,0.9882
close-to-peak,radius_re,1.625,I,-0.20151144537092036,-0.37546492561247863,0.017901626114767814,3,7,0.9882
close-to-peak,radius_re,1.625,T,-0.45215474769268216,-0.7357043558957289,-0.1598995122330587,5,7,0.9882
close-to-peak,radius_re,1.625,F_SF,-0.2506433023217621,-0.46281266982435043,-0.0694446181965382,5,7,0.9882
close-to-peak,radius_re,1.625,F_NSF,-0.1667099382566657,-0.4389563957146306,0.06929704498477234,5,7,1.0
close-to-peak,radius_re,1.625,I_NSF,-0.49440448471375475,-0.720810492717751,-0.3032410334970305,5,6,1.0
close-to-peak,radius_re,1.625,J_NSF,-0.5424552906083804,-1.1400790337128115,-0.08619713093485899,5,7,1.0
close-to-peak,radius_re,1.625,HA6562,-0.3912046427451017,-0.5727943937287259,-0.23026033554541506,4,6,0.9995
close-to-peak,radius_re,1.625,HB4861,-0.39049391845759374,-0.5713719495301689,-0.22953423782463322,4,6,0.9995
close-to-peak,radius_re,1.625,OIII5006,-0.33557461492879526,-0.46600095957943494,-0.18061890266539393,4,6,0.9995
close-to-peak,radius_re,1.625,NII6583,-0.22397616698530953,-0.43466673233590997,-0.04359007445873885,4,6,0.9995
close-to-peak,radius_re,1.625,SII_SUM,-0.31813972440941996,-0.457907899755044,-0.18503502703043573,4,6,0.9995
close-to-peak,radius_re,1.625,F_ND,0.2667311957360837,0.06969709360171389,0.5328520510753845,5,7,1.0
close-to-peak,radius_re,1.875,O,-0.25181272942372357,-0.5322421385917775,-0.017124346827809722,5,6,0.9881
close-to-peak,radius_re,1.875,I,-0.30437226138995155,-0.6288214597107558,0.2401471616863553,3,5,0.9881
close-to-peak,radius_re,1.875,T,-0.5561849908136756,-1.050196177771399,0.16335295485415016,5,6,0.9881
close-to-peak,radius_re,1.875,F_SF,-0.25181272942372357,-0.5322421385917775,-0.017124346827809722,5,6,0.9881
close-to-peak,radius_re,1.875,F_NSF,-0.479659201762652,-0.8373164971886048,-0.1819768991675295,5,6,0.9964
close-to-peak,radius_re,1.875,I_NSF,-0.5553008799163948,-0.8268910532504279,-0.3249754091451493,5,4,0.9964
close-to-peak,radius_re,1.875,J_NSF,-0.7992797861317484,-1.5601722554772266,-0.26030777469356875,5,6,0.9964
close-to-peak,radius_re,1.875,HA6562,-0.33465519503776875,-0.5728938183727195,-0.15017982274640962,3,4,0.9862
