stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,log_sigma_star,8.125,J_NSF,3.3233438647805336e+38,2.001667344321216e+38,4.626553272223887e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.125,HA6562,9.712314034224487e+38,7.903670876857021e+38,1.1521961984263169e+39,8,0.0,0.0
pre-peak,log_sigma_star,8.125,HB4861,3.3964926981466888e+38,2.7638901404665015e+38,4.028882602659431e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.125,OIII5006,2.7572303875539634e+38,2.090778816449879e+38,3.4342571865664215e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.125,NII6583,3.862511658645408e+38,3.3175608886742842e+38,4.4274139965467504e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.125,SII_SUM,4.622022144560758e+38,3.85276840406141e+38,5.38430454287663e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.125,F_ND,0.0696723291461709,0.035989681375107704,0.10148564592934228,8,0.0035,0.0
pre-peak,log_sigma_star,8.375,O,0.5792719807425191,0.4945042951028752,0.6628211724696691,8,0.0,0.0
pre-peak,log_sigma_star,8.375,I,0.04140341042757252,0.034782017590656696,0.048587226457569584,8,0.0,0.0
pre-peak,log_sigma_star,8.375,T,0.0239838355678754,0.0190082121786429,0.02901105181933911,8,0.0,0.0
pre-peak,log_sigma_star,8.375,F_SF,0.5792719807425191,0.4945042951028752,0.6628211724696691,8,0.0,0.0
pre-peak,log_sigma_star,8.375,F_NSF,0.3665388908514352,0.30209029338885607,0.43144550293152384,8,0.0,0.0
pre-peak,log_sigma_star,8.375,I_NSF,1.6219169922941545e+39,1.0905040591101648e+39,2.1470780638071926e+39,8,0.0,0.0
pre-peak,log_sigma_star,8.375,J_NSF,5.828764096380381e+38,3.0832743893931144e+38,8.591183254015443e+38,8,0.0,0.0
pre-peak,log_sigma_star,8.375,HA6562,1.6733399912508312e+39,1.1470359984475045e+39,2.1920910515545388e+39,8,0.0,0.0
pre-peak,log_sigma_star,8.375,HB4861,5.852143803647814e+38,4.012678533492621e+38,7.66641445867321e+38,8,0.0,0.0
