GALID,stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF
NGC4694,close-to-peak,radius_re,2.0,2.25,2.125,7964,0,7602,362
NGC4694,close-to-peak,radius_re,2.25,2.5,2.375,5571,0,5486,85
NGC4694,close-to-peak,radius_re,2.5,2.75,2.625,4106,0,4106,0
NGC4694,close-to-peak,radius_re,2.75,3.0,2.875,2176,0,2176,0
NGC4694,close-to-peak,radius_re,3.0,3.25,3.125,537,0,537,0
NGC4694,close-to-peak,radius_re,3.25,3.5,3.375,0,0,0,0
NGC4694,close-to-peak,radius_re,3.5,3.75,3.625,0,0,0,0
NGC4694,close-to-peak,radius_re,3.75,4.0,3.875,0,0,0,0
NGC4694,close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0
NGC4694,close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0
NGC4694,close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0
NGC4694,close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0
NGC4694,close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0
NGC4694,close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0
NGC4694,close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0
NGC4694,close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0
NGC4694,close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0
NGC4694,close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0
NGC4694,close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0
NGC4694,close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0
NGC4694,close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0
NGC4694,close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0
NGC4694,close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0
NGC4694,close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0
IC3392,post-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
IC3392,post-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
IC3392,post-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
IC3392,post-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0
IC3392,post-peak,log_sigma_star,6.75,7.0,6.875,0,0,0,0
IC3392,post-peak,log_sigma_star,7.0,7.25,7.125,0,0,0,0
IC3392,post-peak,log_sigma_star,7.25,7.5,7.375,459,0,459,0
IC3392,post-peak,log_sigma_star,7.5,7.75,7.625,10886,0,10543,343
IC3392,post-peak,log_sigma_star,7.75,8.0,7.875,17522,319,15388,1815
IC3392,post-peak,log_sigma_star,8.0,8.25,8.125,18962,5474,7490,5998
IC3392,post-peak,log_sigma_star,8.25,8.5,8.375,6793,5838,139,816
IC3392,post-peak,log_sigma_star,8.5,8.75,8.625,1729,1667,0,62
IC3392,post-peak,log_sigma_star,8.75,9.0,8.875,572,488,0,84
IC3392,post-peak,log_sigma_star,9.0,9.25,9.125,106,101,0,5
IC3392,post-peak,log_sigma_star,9.25,9.5,9.375,1,1,0,0
IC3392,post-peak,log_sigma_star,9.5,9.75,9.625,0,0,0,0
IC3392,post-peak,log_sigma_star,9.75,10.0,9.875,0,0,0,0
IC3392,post-peak,log_sigma_star,10.0,10.25,10.125,0,0,0,0
IC3392,post-peak,log_sigma_star,10.25,10.5,10.375,0,0,0,0
IC3392,post-peak,log_sigma_star,10.5,10.75,10.625,0,0,0,0
IC3392,post-peak,log_sigma_star,10.75,11.0,10.875,0,0,0,0
IC3392,post-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0
IC3392,post-peak,radius_re,0.0,0.25,0.125,1646,1543,0,103
IC3392,post-peak,radius_re,0.25,0.5,0.375,4907,4786,0,121
IC3392,post-peak,radius_re,0.5,0.75,0.625,8210,5897,246,2067
IC3392,post-peak,radius_re,0.75,1.0,0.875,11465,1662,5126,4677
IC3392,post-peak,radius_re,1.0,1.25,1.125,12274,0,10595,1679
IC3392,post-peak,radius_re,1.25,1.5,1.375,10200,0,9883,317
IC3392,post-peak,radius_re,1.5,1.75,1.625,6831,0,6782,49
IC3392,post-peak,radius_re,1.75,2.0,1.875,1487,0,1377,110
IC3392,post-peak,radius_re,2.0,2.25,2.125,10,0,10,0
IC3392,post-peak,radius_re,2.25,2.5,2.375,0,0,0,0
IC3392,post-peak,radius_re,2.5,2.75,2.625,0,0,0,0
IC3392,post-peak,radius_re,2.75,3.0,2.875,0,0,0,0
IC3392,post-peak,radius_re,3.0,3.25,3.125,0,0,0,0
IC3392,post-peak,radius_re,3.25,3.5,3.375,0,0,0,0
IC3392,post-peak,radius_re,3.5,3.75,3.625,0,0,0,0
IC3392,post-peak,radius_re,3.75,4.0,3.875,0,0,0,0
IC3392,post-peak,radius_re,4.0,4.25,4.125,0,0,0,0
IC3392,post-peak,radius_re,4.25,4.5,4.375,0,0,0,0
IC3392,post-peak,radius_re,4.5,4.75,4.625,0,0,0,0
IC3392,post-peak,radius_re,4.75,5.0,4.875,0,0,0,0
IC3392,post-peak,radius_re,5.0,5.25,5.125,0,0,0,0
IC3392,post-peak,radius_re,5.25,5.5,5.375,0,0,0,0
IC3392,post-peak,radius_re,5.5,5.75,5.625,0,0,0,0
IC3392,post-peak,radius_re,5.75,6.0,5.875,0,0,0,0
IC3392,post-peak,radius_re,6.0,6.25,6.125,0,0,0,0
IC3392,post-peak,radius_re,6.25,6.5,6.375,0,0,0,0
IC3392,post-peak,radius_re,6.5,6.75,6.625,0,0,0,0
IC3392,post-peak,radius_re,6.75,7.0,6.875,0,0,0,0
IC3392,post-peak,radius_re,7.0,7.25,7.125,0,0,0,0
IC3392,post-peak,radius_re,7.25,7.5,7.375,0,0,0,0
IC3392,post-peak,radius_re,7.5,7.75,7.625,0,0,0,0
IC3392,post-peak,radius_re,7.75,8.0,7.875,0,0,0,0
NGC4064,post-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
NGC4064,post-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
NGC4064,post-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
NGC4064,post-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0
NGC4064,post-peak,log_sigma_star,6.75,7.0,6.875,116,0,116,0
NGC4064,post-peak,log_sigma_star,7.0,7.25,7.125,2735,0,2651,84
NGC4064,post-peak,log_sigma_star,7.25,7.5,7.375,18292,0,17673,619
NGC4064,post-peak,log_sigma_star,7.5,7.75,7.625,35134,0,32879,2255
NGC4064,post-peak,log_sigma_star,7.75,8.0,7.875,31345,0,23931,7414
NGC4064,post-peak,log_sigma_star,8.0,8.25,8.125,20221,11,10549,9661
NGC4064,post-peak,log_sigma_star,8.25,8.5,8.375,12062,463,2895,8704
NGC4064,post-peak,log_sigma_star,8.5,8.75,8.625,6328,1374,512,4442
NGC4064,post-peak,log_sigma_star,8.75,9.0,8.875,1855,1169,6,680
NGC4064,post-peak,log_sigma_star,9.0,9.25,9.125,304,243,0,61
NGC4064,post-peak,log_sigma_star,9.25,9.5,9.375,14,13,0,1
NGC4064,post-peak,log_sigma_star,9.5,9.75,9.625,0,0,0,0
NGC4064,post-peak,log_sigma_star,9.75,10.0,9.875,0,0,0,0
NGC4064,post-peak,log_sigma_star,10.0,10.25,10.125,0,0,0,0
NGC4064,post-peak,log_sigma_star,10.25,10.5,10.375,0,0,0,0
