stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF,N_galaxies,f_SF,f_ND,f_NSF
pre-peak,log_sigma_star,5.75,6.0,5.875,6519,0,0,6519,1,0.0,0.0,1.0
pre-peak,log_sigma_star,6.0,6.25,6.125,15768,0,15768,0,1,0.0,1.0,0.0
pre-peak,log_sigma_star,6.25,6.5,6.375,75219,2966,69884,2369,4,0.03943152660896848,0.9290737712546032,0.0314947021364283
pre-peak,log_sigma_star,6.5,6.75,6.625,114958,19230,70980,24748,4,0.16727848431601106,0.6174428921867117,0.21527862349727728
pre-peak,log_sigma_star,6.75,7.0,6.875,169030,39392,99947,29691,6,0.23304738803762645,0.5912974028279003,0.17565520913447316
pre-peak,log_sigma_star,7.0,7.25,7.125,246035,88095,87853,70087,8,0.3580588127705408,0.3570752128762168,0.2848659743532424
pre-peak,log_sigma_star,7.25,7.5,7.375,383899,167030,137613,79256,8,0.4350883956457297,0.3584614703346453,0.20645013401962495
pre-peak,log_sigma_star,7.5,7.75,7.625,631280,300758,177594,152928,8,0.4764256748194145,0.28132365986566976,0.24225066531491574
pre-peak,log_sigma_star,7.75,8.0,7.875,849332,428505,159769,261058,8,0.5045200227943842,0.18811136281218652,0.30736861439342916
pre-peak,log_sigma_star,8.0,8.25,8.125,703661,368883,84746,250032,8,0.5242339706193749,0.1204358348693476,0.35533019451127745
pre-peak,log_sigma_star,8.25,8.5,8.375,371225,190603,23703,156919,8,0.5134433295171392,0.06385076436123645,0.42270590612162434
pre-peak,log_sigma_star,8.5,8.75,8.625,155818,83133,3452,69233,8,0.5335262934962585,0.02215405152164705,0.44431965498209447
pre-peak,log_sigma_star,8.75,9.0,8.875,57959,37994,139,19826,7,0.6555323590814196,0.0023982470366983558,0.342069393881882
pre-peak,log_sigma_star,9.0,9.25,9.125,20949,15017,73,5859,6,0.7168361258293952,0.0034846532054035994,0.2796792209652012
pre-peak,log_sigma_star,9.25,9.5,9.375,7531,4279,0,3252,6,0.5681848360111539,0.0,0.4318151639888461
pre-peak,log_sigma_star,9.5,9.75,9.625,2411,856,0,1555,6,0.3550394027374533,0.0,0.6449605972625466
pre-peak,log_sigma_star,9.75,10.0,9.875,693,98,0,595,5,0.1414141414141414,0.0,0.8585858585858586
pre-peak,log_sigma_star,10.0,10.25,10.125,204,19,11,174,4,0.09313725490196079,0.05392156862745098,0.8529411764705882
pre-peak,log_sigma_star,10.25,10.5,10.375,71,2,0,69,3,0.028169014084507043,0.0,0.971830985915493
pre-peak,log_sigma_star,10.5,10.75,10.625,15,0,0,15,3,,,
pre-peak,log_sigma_star,10.75,11.0,10.875,1,0,0,1,1,,,
pre-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0,0,,,
pre-peak,radius_re,0.0,0.25,0.125,104518,35583,1517,67418,8,0.3404485351805431,0.01451424634991102,0.6450372184695459
pre-peak,radius_re,0.25,0.5,0.375,313294,135109,31127,147058,8,0.43125307219416903,0.09935396145473581,0.4693929663510951
pre-peak,radius_re,0.5,0.75,0.625,517442,283827,40047,193568,8,0.5485194475902613,0.07739418137684996,0.3740863710328887
pre-peak,radius_re,0.75,1.0,0.875,663161,311689,130549,220923,8,0.4700050214050585,0.19685868137601578,0.33313629721892574
pre-peak,radius_re,1.0,1.25,1.125,534556,284127,109509,140920,8,0.5315196162796788,0.2048597340596682,0.26362064966065296
pre-peak,radius_re,1.25,1.5,1.375,370959,185931,112980,72048,8,0.5012171156381163,0.30456195967748456,0.19422092468439908
pre-peak,radius_re,1.5,1.75,1.625,268919,117740,101265,49914,8,0.4378270036702501,0.37656320304627044,0.1856097932834794
pre-peak,radius_re,1.75,2.0,1.875,219523,95108,75720,48695,7,0.4332484523261799,0.3449296884608902,0.22182185921292985
pre-peak,radius_re,2.0,2.25,2.125,177924,79114,55317,43493,7,0.4446505249432342,0.3109024077696095,0.24444706728715632
pre-peak,radius_re,2.25,2.5,2.375,152323,68521,48265,35537,6,0.44984014232912956,0.31685956815451377,0.2333002895163567
pre-peak,radius_re,2.5,2.75,2.625,109975,50780,40406,18789,5,0.46174130484200954,0.36741077517617643,0.17084791998181406
pre-peak,radius_re,2.75,3.0,2.875,82752,36919,32992,12841,4,0.44614027455529776,0.39868522815158547,0.15517449729311678
pre-peak,radius_re,3.0,3.25,3.125,69157,31251,26087,11819,3,0.45188484173691745,0.377214164871235,0.17090099339184753
pre-peak,radius_re,3.25,3.5,3.375,60842,16622,35096,9124,3,0.2731994346010979,0.576838368232471,0.14996219716643108
pre-peak,radius_re,3.5,3.75,3.625,40956,7319,25492,8145,2,0.17870397499755836,0.6224240648500831,0.19887196015235864
pre-peak,radius_re,3.75,4.0,3.875,20927,1798,12420,6709,2,0.08591771395804464,0.5934916614899413,0.32059062455201415
pre-peak,radius_re,4.0,4.25,4.125,12873,2203,4816,5854,2,0.17113337994251535,0.37411636759108213,0.45475025246640255
pre-peak,radius_re,4.25,4.5,4.375,12947,2198,5081,5668,1,0.16976905846914342,0.3924461265157952,0.4377848150150614
pre-peak,radius_re,4.5,4.75,4.625,13076,973,6832,5271,1,0.07441113490364026,0.5224839400428265,0.4031049250535332
pre-peak,radius_re,4.75,5.0,4.875,12368,48,7506,4814,1,0.0038809831824062097,0.606888745148771,0.3892302716688228
pre-peak,radius_re,5.0,5.25,5.125,11580,0,6845,4735,1,0.0,0.5911053540587219,0.40889464594127806
pre-peak,radius_re,5.25,5.5,5.375,10472,0,5798,4674,1,0.0,0.5536669213139801,0.44633307868601985
pre-peak,radius_re,5.5,5.75,5.625,9364,0,5476,3888,1,0.0,0.5847928235796668,0.41520717642033317
pre-peak,radius_re,5.75,6.0,5.875,7454,0,4414,3040,1,0.0,0.5921652803863697,0.40783471961363027
pre-peak,radius_re,6.0,6.25,6.125,5131,0,2462,2669,1,0.0,0.47982849347105827,0.5201715065289417
pre-peak,radius_re,6.25,6.5,6.375,3642,0,1322,2320,1,0.0,0.3629873695771554,0.6370126304228446
pre-peak,radius_re,6.5,6.75,6.625,2746,0,980,1766,1,0.0,0.3568827385287691,0.6431172614712308
pre-peak,radius_re,6.75,7.0,6.875,1793,0,668,1125,1,0.0,0.3725599553820413,0.6274400446179588
pre-peak,radius_re,7.0,7.25,7.125,1153,0,426,727,1,0.0,0.36947094535993064,0.6305290546400694
pre-peak,radius_re,7.25,7.5,7.375,535,0,117,418,1,0.0,0.21869158878504674,0.7813084112149533
pre-peak,radius_re,7.5,7.75,7.625,198,0,0,198,1,0.0,0.0,1.0
pre-peak,radius_re,7.75,8.0,7.875,18,0,0,18,1,,,
all stages,log_sigma_star,5.75,6.0,5.875,6519,0,0,6519,1,0.0,0.0,1.0
all stages,log_sigma_star,6.0,6.25,6.125,19658,0,19658,0,2,0.0,1.0,0.0
all stages,log_sigma_star,6.25,6.5,6.375,83329,5073,74487,3769,6,0.060879165716617265,0.8938904823050798,0.04523035197830287
all stages,log_sigma_star,6.5,6.75,6.625,169052,24855,119124,25073,9,0.14702576721955374,0.7046589215152734,0.14831531126517283
all stages,log_sigma_star,6.75,7.0,6.875,340485,54640,251564,34281,17,0.16047696667988312,0.7388401838553827,0.10068284946473413
all stages,log_sigma_star,7.0,7.25,7.125,711524,126713,496572,88239,24,0.17808675462809406,0.6978991573017916,0.12401408807011428
all stages,log_sigma_star,7.25,7.5,7.375,1098522,250947,719842,127733,26,0.22844057743040194,0.6552822792807063,0.1162771432888918
all stages,log_sigma_star,7.5,7.75,7.625,1641726,444392,943112,254222,26,0.2706858513540018,0.5744637046620447,0.15485044398395348
all stages,log_sigma_star,7.75,8.0,7.875,2145729,643813,1031421,470495,26,0.3000439477678682,0.48068558517874344,0.21927046705338837
all stages,log_sigma_star,8.0,8.25,8.125,1672921,569382,534995,568544,26,0.3403519951031758,0.31979693004033066,0.3398510748564935
all stages,log_sigma_star,8.25,8.5,8.375,929279,343184,162214,423881,26,0.3693013615932352,0.1745589860526279,0.4561396523541369
all stages,log_sigma_star,8.5,8.75,8.625,452524,172635,39365,240524,26,0.38149357824115404,0.08698986131122327,0.5315165604476226
all stages,log_sigma_star,8.75,9.0,8.875,203791,71477,13205,119109,25,0.35073678425445676,0.06479677709025423,0.584466438655289
all stages,log_sigma_star,9.0,9.25,9.125,81226,17728,5804,57694,24,0.2182552384704405,0.07145495284761037,0.7102898086819491
all stages,log_sigma_star,9.25,9.5,9.375,30934,4412,2238,24284,23,0.14262623650352363,0.07234757871597595,0.7850261847805005
all stages,log_sigma_star,9.5,9.75,9.625,11422,857,615,9950,18,0.07503064261950622,0.05384345998949396,0.8711258973909998
all stages,log_sigma_star,9.75,10.0,9.875,4332,98,36,4198,15,0.022622345337026777,0.008310249307479225,0.969067405355494
all stages,log_sigma_star,10.0,10.25,10.125,1642,19,13,1610,13,0.011571254567600487,0.007917174177831911,0.9805115712545676
all stages,log_sigma_star,10.25,10.5,10.375,586,2,0,584,11,0.0034129692832764505,0.0,0.9965870307167235
all stages,log_sigma_star,10.5,10.75,10.625,187,0,0,187,8,0.0,0.0,1.0
all stages,log_sigma_star,10.75,11.0,10.875,53,0,0,53,5,0.0,0.0,1.0
all stages,log_sigma_star,11.0,11.25,11.125,1,0,0,1,1,,,
all stages,radius_re,0.0,0.25,0.125,207483,58201,9915,139367,26,0.28050972850787775,0.04778704761353942,0.6717032238785828
all stages,radius_re,0.25,0.5,0.375,621908,212774,84198,324936,26,0.3421309904358844,0.13538658451089228,0.5224824250532233
all stages,radius_re,0.5,0.75,0.625,1031788,437985,194891,398912,26,0.42449127146274235,0.18888667051758695,0.3866220580196707
all stages,radius_re,0.75,1.0,0.875,1335956,482497,398720,454739,26,0.3611623436700011,0.298452943060999,0.3403847132689999
all stages,radius_re,1.0,1.25,1.125,1323817,470081,525071,328665,26,0.355095152879892,0.3966341269223767,0.24827072019773125
all stages,radius_re,1.25,1.5,1.375,1212065,332776,654635,224654,26,0.2745529323922397,0.5400989220875118,0.1853481455202485
all stages,radius_re,1.5,1.75,1.625,1054487,242703,630334,181450,25,0.23016215467805673,0.5977636518989803,0.172074193422963
all stages,radius_re,1.75,2.0,1.875,840543,175703,535176,129664,24,0.20903511182652165,0.6367027028956281,0.15426218527785016
all stages,radius_re,2.0,2.25,2.125,574023,95883,393600,84540,22,0.16703686089233358,0.6856868104588144,0.14727632864885204
all stages,radius_re,2.25,2.5,2.375,391074,71445,263024,56605,21,0.18268920971478544,0.6725683630208094,0.1447424272644052
all stages,radius_re,2.5,2.75,2.625,261690,50848,180716,30126,19,0.19430624020787957,0.6905728151629791,0.11512094462914135
all stages,radius_re,2.75,3.0,2.875,189066,36919,133083,19064,16,0.19527043466302774,0.7038970518231729,0.10083251351379942
all stages,radius_re,3.0,3.25,3.125,156270,31251,110276,14743,10,0.19998080245728547,0.7056760734625968,0.09434312408011775
all stages,radius_re,3.25,3.5,3.375,122574,16622,95953,9999,8,0.13560787769021163,0.782816910600943,0.08157521170884527
all stages,radius_re,3.5,3.75,3.625,82750,7319,66582,8849,7,0.08844712990936555,0.8046163141993957,0.10693655589123867
all stages,radius_re,3.75,4.0,3.875,49829,1798,40823,7208,6,0.03608340524594112,0.819261875614602,0.14465471913945693
all stages,radius_re,4.0,4.25,4.125,31666,2203,23365,6098,5,0.06956988568180383,0.7378576391081918,0.19257247521000442
all stages,radius_re,4.25,4.5,4.375,23648,2198,15782,5668,3,0.09294654939106901,0.6673714479025711,0.23968200270635995
all stages,radius_re,4.5,4.75,4.625,20180,973,13936,5271,3,0.04821605550049554,0.6905847373637265,0.261199207135778
all stages,radius_re,4.75,5.0,4.875,16976,48,12114,4814,3,0.002827521206409048,0.7135956644674835,0.28357681432610743
all stages,radius_re,5.0,5.25,5.125,13961,0,9226,4735,3,0.0,0.6608409139746436,0.3391590860253563
all stages,radius_re,5.25,5.5,5.375,11388,0,6714,4674,3,0.0,0.5895679662802951,0.41043203371970494
all stages,radius_re,5.5,5.75,5.625,9627,0,5739,3888,2,0.0,0.5961358678716111,0.4038641321283889
all stages,radius_re,5.75,6.0,5.875,7457,0,4417,3040,2,0.0,0.5923293549684859,0.407670645031514
all stages,radius_re,6.0,6.25,6.125,5131,0,2462,2669,1,0.0,0.47982849347105827,0.5201715065289417
all stages,radius_re,6.25,6.5,6.375,3642,0,1322,2320,1,0.0,0.3629873695771554,0.6370126304228446
all stages,radius_re,6.5,6.75,6.625,2746,0,980,1766,1,0.0,0.3568827385287691,0.6431172614712308
all stages,radius_re,6.75,7.0,6.875,1793,0,668,1125,1,0.0,0.3725599553820413,0.6274400446179588
all stages,radius_re,7.0,7.25,7.125,1153,0,426,727,1,0.0,0.36947094535993064,0.6305290546400694
all stages,radius_re,7.25,7.5,7.375,535,0,117,418,1,0.0,0.21869158878504674,0.7813084112149533
all stages,radius_re,7.5,7.75,7.625,198,0,0,198,1,0.0,0.0,1.0
all stages,radius_re,7.75,8.0,7.875,18,0,0,18,1,,,
