stage,variable,bin_left,bin_right,center,N_galaxies,N_valid,f_SF,f_ND,f_NSF
pre-peak,log_sigma_star,9.25,9.5,9.375,6,7531,0.42463201469899103,0.0,0.575367985301009
pre-peak,radius_re,0.0,0.25,0.125,8,104518,0.5154587024953082,0.0123429265637886,0.4721983709409032
pre-peak,radius_re,0.25,0.5,0.375,8,313294,0.5760096872164894,0.06442497167877695,0.3595653411047337
pre-peak,radius_re,0.5,0.75,0.625,8,517442,0.5899279014070777,0.049303726681815346,0.3607683719111069
pre-peak,radius_re,0.75,1.0,0.875,8,663161,0.5486380959007591,0.1276963057539995,0.32366559834524145
pre-peak,radius_re,1.0,1.25,1.125,8,534556,0.5197492037889268,0.20186119319133947,0.2783896030197338
pre-peak,radius_re,1.25,1.5,1.375,8,370959,0.46667185535342015,0.3118695372363057,0.2214586074102741
pre-peak,radius_re,1.5,1.75,1.625,8,268919,0.3103250809445095,0.48273684704993447,0.20693807200555606
pre-peak,radius_re,1.75,2.0,1.875,7,219523,0.2859819844948558,0.46160187947635206,0.25241613602879215
pre-peak,radius_re,2.0,2.25,2.125,7,177924,0.2745354135864345,0.48873261512111216,0.23673197129245324
pre-peak,log_sigma_star,6.25,6.5,6.375,4,75219,0.016093326098752036,0.9383993541961138,0.04550731970513419
pre-peak,log_sigma_star,6.5,6.75,6.625,4,114958,0.13480769893554986,0.6933101682786943,0.1718821327857559
pre-peak,log_sigma_star,9.5,9.75,9.625,4,2359,0.30434812158502383,0.0,0.6956518784149761
pre-peak,log_sigma_star,9.75,10.0,9.875,3,656,0.18980139304681512,0.0,0.8101986069531848
pre-peak,radius_re,2.25,2.5,2.375,5,152302,0.1401334686145837,0.593655429369895,0.26621110201552123
pre-peak,radius_re,2.5,2.75,2.625,5,109975,0.13638728285235263,0.653849884785936,0.2097628323617114
pre-peak,radius_re,2.75,3.0,2.875,4,82752,0.15482964006847974,0.6149107555553209,0.2302596043761993
pre-peak,radius_re,3.0,3.25,3.125,3,69157,0.20023522801916802,0.5127041820528221,0.28706058992800987
pre-peak,radius_re,3.25,3.5,3.375,3,60842,0.12703475051231752,0.6180416101999106,0.2549236392877719
pre-peak,radius_re,3.5,3.75,3.625,2,40956,0.1577692427491839,0.4965763692012489,0.34565438804956716
pre-peak,radius_re,3.75,4.0,3.875,2,20927,0.07363931762794476,0.6538586515028433,0.27250203086921204
pre-peak,radius_re,4.0,4.25,4.125,2,12873,0.0871026411513522,0.6814407717855449,0.23145658706310296
pre-peak,log_sigma_star,10.0,10.25,10.125,1,131,0.0,0.0,1.0
pre-peak,log_sigma_star,10.25,10.5,10.375,1,50,0.0,0.0,1.0
pre-peak,log_sigma_star,5.75,6.0,5.875,1,6519,0.0,0.0,1.0
pre-peak,log_sigma_star,6.0,6.25,6.125,1,15768,0.0,1.0,0.0
pre-peak,radius_re,4.25,4.5,4.375,1,12947,0.16976905846914342,0.3924461265157952,0.4377848150150614
pre-peak,radius_re,4.5,4.75,4.625,1,13076,0.07441113490364026,0.5224839400428265,0.4031049250535332
pre-peak,radius_re,4.75,5.0,4.875,1,12368,0.0038809831824062097,0.606888745148771,0.3892302716688228
pre-peak,radius_re,5.0,5.25,5.125,1,11580,0.0,0.5911053540587219,0.40889464594127806
pre-peak,radius_re,5.25,5.5,5.375,1,10472,0.0,0.5536669213139801,0.44633307868601985
pre-peak,radius_re,5.5,5.75,5.625,1,9364,0.0,0.5847928235796668,0.41520717642033317
pre-peak,radius_re,5.75,6.0,5.875,1,7454,0.0,0.5921652803863697,0.40783471961363027
pre-peak,radius_re,6.0,6.25,6.125,1,5131,0.0,0.47982849347105827,0.5201715065289417
pre-peak,radius_re,6.25,6.5,6.375,1,3642,0.0,0.3629873695771554,0.6370126304228446
pre-peak,radius_re,6.5,6.75,6.625,1,2746,0.0,0.3568827385287691,0.6431172614712308
pre-peak,radius_re,6.75,7.0,6.875,1,1793,0.0,0.3725599553820413,0.6274400446179588
pre-peak,radius_re,7.0,7.25,7.125,1,1153,0.0,0.36947094535993064,0.6305290546400694
pre-peak,radius_re,7.25,7.5,7.375,1,535,0.0,0.21869158878504674,0.7813084112149533
pre-peak,radius_re,7.5,7.75,7.625,1,198,0.0,0.0,1.0
all stages,log_sigma_star,6.25,6.5,6.375,6,83329,0.08097626687573001,0.8420095181204738,0.0770142150037962
all stages,log_sigma_star,6.5,6.75,6.625,9,169052,0.1044460611822964,0.8165889470543157,0.07896499176338784
all stages,log_sigma_star,6.75,7.0,6.875,17,340485,0.05994161301156959,0.8825213875197546,0.057536999468675826
all stages,log_sigma_star,7.0,7.25,7.125,24,711524,0.10451099155790278,0.822395619481331,0.07309338896076624
all stages,log_sigma_star,7.25,7.5,7.375,26,1098522,0.13383777295545585,0.7627273044534651,0.10343492259107884
all stages,log_sigma_star,7.5,7.75,7.625,26,1641726,0.19229815044163104,0.666878536457632,0.14082331310073706
all stages,log_sigma_star,7.75,8.0,7.875,26,2145729,0.258005935047064,0.5211194995559552,0.22087456539698086
all stages,log_sigma_star,8.0,8.25,8.125,26,1672921,0.3111015084121468,0.3503776014772936,0.33852089011055964
all stages,log_sigma_star,8.25,8.5,8.375,26,929279,0.3980034145072808,0.16886964088453912,0.43312694460818013
all stages,log_sigma_star,8.5,8.75,8.625,25,452489,0.42035296124794874,0.07985701022832306,0.49979002852372806
all stages,log_sigma_star,8.75,9.0,8.875,24,203788,0.39260957617045156,0.048168858963304945,0.5592215648662434
all stages,log_sigma_star,9.0,9.25,9.125,22,81199,0.32292282353388435,0.05436761313602681,0.622709563330089
all stages,radius_re,0.0,0.25,0.125,26,207483,0.3840337435429238,0.03692604618033201,0.5790402102767442
all stages,radius_re,0.25,0.5,0.375,26,621908,0.3868600615163155,0.10309036372562103,0.5100495747580636
all stages,radius_re,0.5,0.75,0.625,26,1031788,0.3937930304867813,0.1775374101101115,0.428669559403107
all stages,radius_re,0.75,1.0,0.875,26,1335956,0.31706144267250286,0.29146422596747446,0.39147433136002263
all stages,radius_re,1.0,1.25,1.125,26,1323817,0.26678339813364943,0.4323334858354186,0.300883116030932
all stages,radius_re,1.25,1.5,1.375,26,1212065,0.21647007033258778,0.5635709911033859,0.21995893856402632
all stages,radius_re,1.5,1.75,1.625,25,1054487,0.15093167644968505,0.6607206664579873,0.18834765709232765
all stages,radius_re,1.75,2.0,1.875,24,840543,0.12095288349354427,0.711879141349705,0.16716797515675083
all stages,radius_re,2.0,2.25,2.125,22,574023,0.10053863495468528,0.7526329402082276,0.14682842483708708
all stages,radius_re,2.25,2.5,2.375,20,391053,0.04001621511451246,0.8476402822435063,0.11234350264198131
all stages,radius_re,2.5,2.75,2.625,18,261669,0.03822829187599644,0.8723964013771668,0.08937530674683686
all stages,radius_re,2.75,3.0,2.875,15,189058,0.04128790401826126,0.879059327673366,0.07965276830837267
all stages,log_sigma_star,9.25,9.5,9.375,16,30818,0.16032152080040937,0.05251182633973764,0.7871666528598529
all stages,log_sigma_star,9.5,9.75,9.625,13,11357,0.09364557587231502,0.03752711809647386,0.8688273060312113
all stages,log_sigma_star,9.75,10.0,9.875,11,4272,0.05176401628549503,0.006652897538572613,0.9415830861759322
all stages,log_sigma_star,10.0,10.25,10.125,8,1539,0.0,0.0010330578512396695,0.9989669421487604
all stages,log_sigma_star,10.25,10.5,10.375,6,520,0.0,0.0,1.0
all stages,log_sigma_star,10.5,10.75,10.625,2,107,0.0,0.0,1.0
all stages,log_sigma_star,6.0,6.25,6.125,2,19658,0.0,1.0,0.0
all stages,radius_re,3.0,3.25,3.125,9,156252,0.06674507600638933,0.8225000076061659,0.11075491638744468
all stages,radius_re,3.25,3.5,3.375,8,122574,0.047638031442119075,0.8499054259822512,0.10245654257562982
all stages,radius_re,3.5,3.75,3.625,7,82750,0.045076926499766835,0.8488943585970686,0.10602871490316476
all stages,radius_re,3.75,4.0,3.875,5,49809,0.029455727051177903,0.8531590197038845,0.1173852532449376
all stages,radius_re,4.0,4.25,4.125,5,31666,0.03484105646054088,0.8669831855050487,0.09817575803441023
all stages,radius_re,4.25,4.5,4.375,3,23648,0.05658968615638114,0.7974820421719317,0.14592827167168712
all stages,radius_re,4.5,4.75,4.625,3,20180,0.024803711634546755,0.8408279800142755,0.13436830835117772
all stages,radius_re,4.75,5.0,4.875,3,16976,0.00129366106080207,0.8689629150495902,0.1297434238896076
all stages,radius_re,5.0,5.25,5.125,3,13961,0.0,0.8637017846862406,0.13629821531375935
all stages,radius_re,5.25,5.5,5.375,3,11388,0.0,0.85122230710466,0.14877769289533996
all stages,radius_re,5.5,5.75,5.625,2,9627,0.0,0.7923964117898334,0.20760358821016658
all stages,log_sigma_star,5.75,6.0,5.875,1,6519,0.0,0.0,1.0
all stages,radius_re,5.75,6.0,5.875,1,7454,0.0,0.5921652803863697,0.40783471961363027
all stages,radius_re,6.0,6.25,6.125,1,5131,0.0,0.47982849347105827,0.5201715065289417
all stages,radius_re,6.25,6.5,6.375,1,3642,0.0,0.3629873695771554,0.6370126304228446
all stages,radius_re,6.5,6.75,6.625,1,2746,0.0,0.3568827385287691,0.6431172614712308
all stages,radius_re,6.75,7.0,6.875,1,1793,0.0,0.3725599553820413,0.6274400446179588
all stages,radius_re,7.0,7.25,7.125,1,1153,0.0,0.36947094535993064,0.6305290546400694
all stages,radius_re,7.25,7.5,7.375,1,535,0.0,0.21869158878504674,0.7813084112149533
all stages,radius_re,7.5,7.75,7.625,1,198,0.0,0.0,1.0
