stage,variable,bin_left,bin_right,center,N_galaxies,N_valid,f_SF,f_ND,f_NSF
pre-peak,radius_re,1.25,1.5,1.375,8,269379,0.5687637439699166,0.19247291589979518,0.23876334013028824
pre-peak,radius_re,1.5,1.75,1.625,7,180487,0.4291361406996072,0.3172078824328402,0.25365597686755265
pre-peak,log_sigma_star,6.5,6.75,6.625,2,1376,0.5772460117548279,0.0,0.42275398824517213
pre-peak,log_sigma_star,6.75,7.0,6.875,3,21860,0.31001660825294075,0.39739822107284195,0.29258517067421724
pre-peak,log_sigma_star,9.5,9.75,9.625,4,2359,0.30434812158502383,0.0,0.6956518784149761
pre-peak,log_sigma_star,9.75,10.0,9.875,3,656,0.18980139304681512,0.0,0.8101986069531848
pre-peak,radius_re,1.75,2.0,1.875,6,133846,0.3128772546083451,0.39449853597146034,0.29262420942019457
pre-peak,radius_re,2.0,2.25,2.125,4,89398,0.2878230394475979,0.24005163479877495,0.4721253257536272
pre-peak,radius_re,2.25,2.5,2.375,4,52201,0.23906045927295003,0.30649733317175337,0.45444220755529663
pre-peak,radius_re,2.5,2.75,2.625,3,21459,0.27771674326697954,0.3024963916406556,0.4197868650923649
pre-peak,radius_re,2.75,3.0,2.875,2,11616,0.4372768061532827,0.0228458932332204,0.5398773006134969
pre-peak,radius_re,3.0,3.25,3.125,1,4734,0.7015209125475285,0.0,0.2984790874524715
pre-peak,radius_re,3.25,3.5,3.375,1,52,1.0,0.0,0.0
pre-peak,log_sigma_star,6.25,6.5,6.375,1,443,0.0,0.0,1.0
pre-peak,log_sigma_star,10.0,10.25,10.125,1,131,0.0,0.0,1.0
pre-peak,log_sigma_star,10.25,10.5,10.375,1,50,0.0,0.0,1.0
all stages,log_sigma_star,7.0,7.25,7.125,15,156598,0.18593107359771788,0.6210744054812513,0.1929945209210309
all stages,log_sigma_star,7.25,7.5,7.375,24,495850,0.18588166804786918,0.6755977080415384,0.1385206239105923
all stages,log_sigma_star,7.5,7.75,7.625,26,1190153,0.21355328960388403,0.6308342571058193,0.15561245329029677
all stages,log_sigma_star,7.75,8.0,7.875,26,1938862,0.2604374402256094,0.5147871553342439,0.22477540444014676
all stages,log_sigma_star,8.0,8.25,8.125,26,1637140,0.3112876577967817,0.348615909126581,0.3400964330766373
all stages,log_sigma_star,8.25,8.5,8.375,26,924804,0.39892974461987046,0.1664849074155314,0.4345853479645983
all stages,log_sigma_star,8.5,8.75,8.625,25,451728,0.42052059817625337,0.07963611906081841,0.49984328276292816
all stages,log_sigma_star,8.75,9.0,8.875,24,203622,0.39315861534206276,0.04765831593563869,0.5591830687222985
all stages,log_sigma_star,9.0,9.25,9.125,22,80953,0.32363056707260923,0.04595316707561963,0.6304162658517711
all stages,radius_re,0.0,0.25,0.125,26,207310,0.384033165819724,0.036932807376057024,0.5790340268042191
all stages,radius_re,0.25,0.5,0.375,26,619295,0.3868983961579733,0.10308179621926662,0.51001980762276
all stages,radius_re,0.5,0.75,0.625,26,1015834,0.3941664459130087,0.1772281507871032,0.4286054032998881
all stages,radius_re,0.75,1.0,0.875,26,1258067,0.3188706338344598,0.2881662675696118,0.3929630985959285
all stages,radius_re,1.0,1.25,1.125,26,1193054,0.2701126845534452,0.4255087627908832,0.3043785526556716
all stages,radius_re,1.25,1.5,1.375,26,996390,0.25591275946264347,0.5182933604570672,0.22579388008028942
all stages,radius_re,1.5,1.75,1.625,24,745220,0.18877997433313431,0.609341361736465,0.20187866393040063
all stages,radius_re,1.75,2.0,1.875,21,510919,0.13889242608192506,0.6673983861384505,0.19370918777962448
all stages,radius_re,2.0,2.25,2.125,15,274675,0.1126292364723998,0.6567230524308874,0.23064771109671287
all stages,radius_re,2.25,2.5,2.375,12,144336,0.08860073771612383,0.68182465554608,0.22957460673779626
all stages,log_sigma_star,9.25,9.5,9.375,16,30733,0.16082511007558611,0.05251874333658919,0.7866561465878247
all stages,log_sigma_star,9.5,9.75,9.625,13,11321,0.09364557587231502,0.03752711809647386,0.8688273060312113
all stages,log_sigma_star,9.75,10.0,9.875,11,4266,0.05176401628549503,0.006652897538572613,0.9415830861759322
all stages,log_sigma_star,10.0,10.25,10.125,8,1536,0.0,0.0010330578512396695,0.9989669421487604
all stages,log_sigma_star,10.25,10.5,10.375,6,520,0.0,0.0,1.0
all stages,log_sigma_star,10.5,10.75,10.625,2,107,0.0,0.0,1.0
all stages,radius_re,2.5,2.75,2.625,8,75896,0.10598679693847378,0.670473422017658,0.22353978104386812
all stages,radius_re,2.75,3.0,2.875,6,52710,0.14575893538442755,0.6253764285101302,0.22886463610544228
all stages,log_sigma_star,6.5,6.75,6.625,3,3466,0.6487860174059299,0.06937799043062201,0.28183599216344807
all stages,log_sigma_star,6.75,7.0,6.875,5,39524,0.29933342061622764,0.5001553675650637,0.20051121181870862
all stages,radius_re,3.0,3.25,3.125,4,38767,0.17538022813688212,0.7141711878277268,0.11044858403539105
all stages,radius_re,3.25,3.5,3.375,3,23256,0.3333333333333333,0.6492078756786767,0.017458790987990004
all stages,radius_re,3.5,3.75,3.625,2,10384,0.0,0.9411761572595669,0.058823842740433056
all stages,radius_re,3.75,4.0,3.875,2,3376,0.0,0.7716049382716049,0.22839506172839505
all stages,radius_re,4.0,4.25,4.125,1,1290,0.0,1.0,0.0
all stages,radius_re,4.25,4.5,4.375,1,1305,0.0,1.0,0.0
all stages,radius_re,4.5,4.75,4.625,1,73,0.0,1.0,0.0
all stages,log_sigma_star,6.25,6.5,6.375,1,443,0.0,0.0,1.0
