GALID,stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF
NGC4654,close-to-peak,radius_re,0.75,1.0,0.875,70582,52335,167,18080
NGC4654,close-to-peak,radius_re,1.0,1.25,1.125,90656,55661,4619,30376
NGC4654,close-to-peak,radius_re,1.25,1.5,1.375,110898,67101,15251,28546
NGC4654,close-to-peak,radius_re,1.5,1.75,1.625,123590,56542,42983,24065
NGC4654,close-to-peak,radius_re,1.75,2.0,1.875,96707,31831,58195,6681
NGC4654,close-to-peak,radius_re,2.0,2.25,2.125,48667,5286,42019,1362
NGC4654,close-to-peak,radius_re,2.25,2.5,2.375,21512,816,20696,0
NGC4654,close-to-peak,radius_re,2.5,2.75,2.625,5488,0,5488,0
NGC4654,close-to-peak,radius_re,2.75,3.0,2.875,381,0,381,0
NGC4654,close-to-peak,radius_re,3.0,3.25,3.125,0,0,0,0
NGC4654,close-to-peak,radius_re,3.25,3.5,3.375,0,0,0,0
NGC4654,close-to-peak,radius_re,3.5,3.75,3.625,0,0,0,0
NGC4654,close-to-peak,radius_re,3.75,4.0,3.875,0,0,0,0
NGC4654,close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0
NGC4654,close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0
NGC4654,close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0
NGC4654,close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0
NGC4654,close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0
NGC4654,close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0
NGC4654,close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0
NGC4654,close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0
NGC4654,close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0
NGC4654,close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0
NGC4654,close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0
NGC4654,close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0
NGC4654,close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0
NGC4654,close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0
NGC4654,close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0
NGC4654,close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0
