curve_set,variable,kind,category,stage_or_transition,N_bins,pivot,value_at_pivot,slope,rmse,uniform_delta,uniform_rmse,multiplicative_scale,multiplicative_rmse
uncut_equal,radius_re,stage_difference_second_minus_first,NSF,post-peak minus pre-peak,10,1.0,0.06717040624085553,-0.17961139649362085,0.027186074534107305,0.022267557117450324,0.1318077235544951,1.1561283612143565,0.12474095833193431
uncut_equal,log_sigma_star,stage_profile,SF,pre-peak,10,8.0,0.4314468091152955,0.14275090250485326,0.0933602558701422,,,,
uncut_equal,log_sigma_star,stage_profile,SF,close-to-peak,10,8.0,0.32960950574053943,0.22027200095933233,0.10637081211553229,,,,
uncut_equal,log_sigma_star,stage_profile,SF,post-peak,10,8.0,0.12672900567072345,0.1552834422232648,0.051230220187266404,,,,
uncut_equal,log_sigma_star,stage_difference_second_minus_first,SF,close-to-peak minus pre-peak,10,8.0,-0.10183730337475594,0.07752109845447902,0.10017317732163822,-0.10183730337475598,0.1146007180105418,0.7957372831505791,0.12221073553639622
uncut_equal,log_sigma_star,stage_difference_second_minus_first,SF,post-peak minus close-to-peak,10,8.0,-0.20288050006981603,-0.06498855873606753,0.0904321328201544,-0.20288050006981603,0.10176305526405782,0.429649328012168,0.0659985500516042
uncut_equal,log_sigma_star,stage_difference_second_minus_first,SF,post-peak minus pre-peak,10,8.0,-0.30471780344457194,0.01253253971841149,0.12234915923077219,-0.304717803444572,0.12267967710258862,0.31305618436764854,0.10483757497370981
uncut_equal,log_sigma_star,stage_profile,ND,pre-peak,10,8.0,0.23224564139920836,-0.3121341285150734,0.09354379658646785,,,,
uncut_equal,log_sigma_star,stage_profile,ND,close-to-peak,10,8.0,0.39074285867296243,-0.48093324820784683,0.09560591274107057,,,,
uncut_equal,log_sigma_star,stage_profile,ND,post-peak,10,8.0,0.5825217189916665,-0.5076400020039005,0.11225523021983036,,,,
uncut_equal,log_sigma_star,stage_difference_second_minus_first,ND,close-to-peak minus pre-peak,10,8.0,0.15849721727375413,-0.16879911969277345,0.08262259915192721,0.15849721727375413,0.14669107216030283,1.5380517054597793,0.11810162881098661
uncut_equal,log_sigma_star,stage_difference_second_minus_first,ND,post-peak minus close-to-peak,10,8.0,0.19177886031870406,-0.026706753796053664,0.128690760003796,0.19177886031870406,0.1301118042365005,1.266856204818145,0.18355291632859586
uncut_equal,log_sigma_star,stage_difference_second_minus_first,ND,post-peak minus pre-peak,10,8.0,0.3502760775924582,-0.19550587348882717,0.17647228597569303,0.35027607759245816,0.22550159265942282,1.8781943435902348,0.29403053423982206
uncut_equal,log_sigma_star,stage_profile,NSF,pre-peak,10,8.0,0.3363075494854962,0.1693832260102203,0.02825309562213872,,,,
uncut_equal,log_sigma_star,stage_profile,NSF,close-to-peak,10,8.0,0.27964763558649797,0.2606612472485147,0.04507569918104025,,,,
uncut_equal,log_sigma_star,stage_profile,NSF,post-peak,10,8.0,0.29074927533760997,0.35235655978063585,0.06949612541591663,,,,
uncut_equal,log_sigma_star,stage_difference_second_minus_first,NSF,close-to-peak minus pre-peak,10,8.0,-0.05665991389899815,0.09127802123829445,0.06642072420724551,-0.05665991389899816,0.09331523798634203,0.9015330983491019,0.10329710039697682
uncut_equal,log_sigma_star,stage_difference_second_minus_first,NSF,post-peak minus close-to-peak,10,8.0,0.011101639751111943,0.09169531253212108,0.08359889693495215,0.011101639751111947,0.10641506572375273,1.1156715440976464,0.0995245314837552
uncut_equal,log_sigma_star,stage_difference_second_minus_first,NSF,post-peak minus pre-peak,10,8.0,-0.04555827414788623,0.18297333377041555,0.08057112603173154,-0.04555827414788622,0.15412475441719745,0.9955620424200711,0.16070924542938622
snr25_equal,radius_re,stage_profile,SF,pre-peak,10,1.0,0.49862313782965484,-0.15122349923341208,0.06559690152855782,,,,
snr25_equal,radius_re,stage_profile,SF,close-to-peak,10,1.0,0.3599503467390404,-0.21468740271759457,0.028405724638657485,,,,
snr25_equal,radius_re,stage_profile,SF,post-peak,10,1.0,0.13851957904757797,-0.12931579610031596,0.03567132245780226,,,,
snr25_equal,radius_re,stage_difference_second_minus_first,SF,close-to-peak minus pre-peak,10,1.0,-0.1386727910906144,-0.06346390348418246,0.05319686253830737,-0.15453876696166002,0.07004764096120247,0.6960848004644866,0.08768416218081332
snr25_equal,radius_re,stage_difference_second_minus_first,SF,post-peak minus close-to-peak,10,1.0,-0.22143076769146236,0.08537160661727855,0.05651878280559909,-0.2000878660371428,0.08338110265995922,0.3909599203935064,0.055473371351626805
snr25_equal,radius_re,stage_difference_second_minus_first,SF,post-peak minus pre-peak,10,1.0,-0.3601035587820767,0.02190770313309609,0.08716571349181529,-0.35462663299880287,0.08857389296982512,0.25391696045236034,0.080265890911791
snr25_equal,radius_re,stage_profile,ND,pre-peak,10,1.0,0.14935486411666765,0.15084261738127844,0.05432128042539235,,,,
snr25_equal,radius_re,stage_profile,ND,close-to-peak,10,1.0,0.2926935115059558,0.4501022203941069,0.05548595227933707,,,,
snr25_equal,radius_re,stage_profile,ND,post-peak,10,1.0,0.46498596065086545,0.36633800823709706,0.09293143116403542,,,,
snr25_equal,radius_re,stage_difference_second_minus_first,ND,close-to-peak minus pre-peak,10,1.0,0.14333864738928825,0.29925960301282856,0.06919302561116684,0.21815354814249535,0.22575461708369,2.243141006479206,0.14760064933161687
snr25_equal,radius_re,stage_difference_second_minus_first,ND,post-peak minus close-to-peak,10,1.0,0.17229244914490963,-0.08376421215700992,0.1304080763719021,0.15135139610565718,0.14361100211251343,1.1330883593235606,0.1967692038562656
snr25_equal,radius_re,stage_difference_second_minus_first,ND,post-peak minus pre-peak,10,1.0,0.3156310965341979,0.21549539085581856,0.08572690391857919,0.36950494424815256,0.17690062651780772,2.712087575012901,0.149042152320026
snr25_equal,radius_re,stage_profile,NSF,pre-peak,10,1.0,0.35202199805367734,0.0003808818521339327,0.08367922082666769,,,,
snr25_equal,radius_re,stage_profile,NSF,close-to-peak,10,1.0,0.34735614175500357,-0.23541481767651218,0.045773185536190045,,,,
snr25_equal,radius_re,stage_profile,NSF,post-peak,10,1.0,0.3964944603015564,-0.2370222121367808,0.0659923900482656,,,,
snr25_equal,radius_re,stage_difference_second_minus_first,NSF,close-to-peak minus pre-peak,10,1.0,-0.004665856298673865,-0.23579569952864604,0.10604471255190415,-0.06361478118083536,0.1997849617826838,0.7669845261472957,0.19196008593879355
snr25_equal,radius_re,stage_difference_second_minus_first,NSF,post-peak minus close-to-peak,10,1.0,0.049138318546552845,-0.00160739446026869,0.09106626015969005,0.04873646993148566,0.09107357447978619,1.09867076726151,0.0977786834640673
snr25_equal,radius_re,stage_difference_second_minus_first,NSF,post-peak minus pre-peak,10,1.0,0.04447246224787899,-0.23740309398891477,0.03536541800291127,-0.014878311249349702,0.174101854921064,0.9447701095299238,0.17358934150221952
snr25_equal,log_sigma_star,stage_profile,SF,pre-peak,9,8.0,0.4963158998732611,0.02591527162104822,0.051315521583544896,,,,
snr25_equal,log_sigma_star,stage_profile,SF,close-to-peak,9,8.0,0.3469115965986357,0.19310253336397948,0.10493742294071716,,,,
snr25_equal,log_sigma_star,stage_profile,SF,post-peak,9,8.0,0.12272785193837268,0.16740480775863192,0.049739983299746715,,,,
snr25_equal,log_sigma_star,stage_difference_second_minus_first,SF,close-to-peak minus pre-peak,9,8.0,-0.14940430327462517,0.16718726174293122,0.09015441322860798,-0.12850589555675881,0.1406211580632612,0.7533747852251083,0.14467869441523742
snr25_equal,log_sigma_star,stage_difference_second_minus_first,SF,post-peak minus close-to-peak,9,8.0,-0.22418374466026306,-0.025697725605347554,0.084141641308891,-0.22739596036093154,0.08576112907969416,0.42608774615579015,0.07051074138074875
snr25_equal,log_sigma_star,stage_difference_second_minus_first,SF,post-peak minus pre-peak,9,8.0,-0.37358804793488837,0.1414895361375837,0.07794623752456892,-0.35590185591769036,0.12007075536011437,0.28948687796379213,0.11674613853095302
snr25_equal,log_sigma_star,stage_profile,ND,pre-peak,9,8.0,0.1257690672771515,-0.134538240980333,0.050168164626903225,,,,
snr25_equal,log_sigma_star,stage_profile,ND,close-to-peak,9,8.0,0.36854949858667,-0.4487111677603111,0.08611024524339905,,,,
snr25_equal,log_sigma_star,stage_profile,ND,post-peak,9,8.0,0.5834404825125146,-0.5243562396817147,0.10864668876601616,,,,
snr25_equal,log_sigma_star,stage_difference_second_minus_first,ND,close-to-peak minus pre-peak,9,8.0,0.24278043130951849,-0.3141729267799781,0.07445080559795997,0.20350881546202138,0.2160320595532274,2.799517693499938,0.13066392743265673
snr25_equal,log_sigma_star,stage_difference_second_minus_first,ND,post-peak minus close-to-peak,9,8.0,0.2148909839258445,-0.07564507192140375,0.12445203804589386,0.205435349935669,0.13368825734249906,1.3852232623276277,0.17899235226863325
snr25_equal,log_sigma_star,stage_difference_second_minus_first,ND,post-peak minus pre-peak,9,8.0,0.45767141523536325,-0.3898179987013819,0.10161707619197331,0.40894416539769035,0.27137039918461636,4.004577928928843,0.20715060498183707
snr25_equal,log_sigma_star,stage_profile,NSF,pre-peak,9,8.0,0.37791503284958755,0.10862296935928475,0.051522289898231766,,,,
snr25_equal,log_sigma_star,stage_profile,NSF,close-to-peak,9,8.0,0.2845389048146941,0.2556086343963317,0.046355085544232996,,,,
snr25_equal,log_sigma_star,stage_profile,NSF,post-peak,9,8.0,0.2938316655491128,0.35695143192308293,0.07180117669473653,,,,
snr25_equal,log_sigma_star,stage_difference_second_minus_first,NSF,close-to-peak minus pre-peak,9,8.0,-0.0933761280348934,0.14698566503704696,0.07249538249539345,-0.07500291990526253,0.11940508588754906,0.8408873913916187,0.12574227179573128
snr25_equal,log_sigma_star,stage_difference_second_minus_first,NSF,post-peak minus close-to-peak,9,8.0,0.009292760734418615,0.10134279752675127,0.0874164735691798,0.02196061042526252,0.10918313791820672,1.1190861379025028,0.10279193843663216
snr25_equal,log_sigma_star,stage_difference_second_minus_first,NSF,post-peak minus pre-peak,9,8.0,-0.0840833673004748,0.2483284625637982,0.06596808123403174,-0.05304230948000002,0.1733389212633486,0.9350156974443186,0.17938968222433052
uncut_pooled,radius_re,stage_profile,SF,pre-peak,10,1.0,0.45657946828648416,0.009093699476711367,0.05565536578452116,,,,
uncut_pooled,radius_re,stage_profile,SF,close-to-peak,10,1.0,0.437159916887958,-0.24062235457696518,0.09723769972435568,,,,
uncut_pooled,radius_re,stage_profile,SF,post-peak,10,1.0,0.08969375553346576,-0.07429315553918889,0.0224326109752458,,,,
uncut_pooled,radius_re,stage_difference_second_minus_first,SF,close-to-peak minus pre-peak,10,1.0,-0.01941955139852614,-0.24971605405367653,0.05490503253911068,-0.08184856491194524,0.18753122901600897,0.8265876736215689,0.18825837349404026
uncut_pooled,radius_re,stage_difference_second_minus_first,SF,post-peak minus close-to-peak,10,1.0,-0.3474661613544923,0.16632919903777624,0.09008975391713911,-0.3058838615950484,0.14960326500596788,0.20365474794180938,0.02969817225268085
uncut_pooled,radius_re,stage_difference_second_minus_first,SF,post-peak minus pre-peak,10,1.0,-0.36688571275301846,-0.0833868550159003,0.04628500967480427,-0.3877324265069936,0.07568112237475833,0.15450087732039106,0.05750236180924246
uncut_pooled,radius_re,stage_profile,ND,pre-peak,10,1.0,0.18723467016353837,0.149780372036226,0.05186627335958424,,,,
uncut_pooled,radius_re,stage_profile,ND,close-to-peak,10,1.0,0.23852978532785168,0.44486554356577335,0.09915915717288337,,,,
uncut_pooled,radius_re,stage_profile,ND,post-peak,10,1.0,0.5419982752812554,0.3542635152755333,0.10555073961866221,,,,
uncut_pooled,radius_re,stage_difference_second_minus_first,ND,close-to-peak minus pre-peak,10,1.0,0.05129511516431325,0.29508517152954733,0.13533654680828808,0.12506640804670005,0.2514242650256491,1.6997773697599505,0.2171496474562648
uncut_pooled,radius_re,stage_difference_second_minus_first,ND,post-peak minus close-to-peak,10,1.0,0.3034684899534037,-0.09060202829024008,0.19894707167583378,0.2808179828808437,0.209314506093589,1.2489182365382703,0.32887719665014187
uncut_pooled,radius_re,stage_difference_second_minus_first,ND,post-peak minus pre-peak,10,1.0,0.35476360511771693,0.20448314323930725,0.07580707579187242,0.40588439092754386,0.16524746400499385,2.673471655939556,0.10367063191617029
uncut_pooled,radius_re,stage_profile,NSF,pre-peak,10,1.0,0.3561858615499772,-0.15887407151293717,0.07792019361109423,,,,
uncut_pooled,radius_re,stage_profile,NSF,close-to-peak,10,1.0,0.3243102977841901,-0.20424318898880794,0.02855902157818965,,,,
uncut_pooled,radius_re,stage_profile,NSF,post-peak,10,1.0,0.3683079691852787,-0.27997035973634415,0.10412945728169294,,,,
uncut_pooled,radius_re,stage_difference_second_minus_first,NSF,close-to-peak minus pre-peak,10,1.0,-0.031875563765787124,-0.04536911747587077,0.08945537096682692,-0.043217843134754796,0.09520296019769149,0.8608705053449791,0.0928616899620148
uncut_pooled,radius_re,stage_difference_second_minus_first,NSF,post-peak minus close-to-peak,10,1.0,0.04399767140108863,-0.07572717074753621,0.11450188829155333,0.025065878714204577,0.12675798913926253,1.1369477316590197,0.1219707465648143
uncut_pooled,radius_re,stage_difference_second_minus_first,NSF,post-peak minus pre-peak,10,1.0,0.012122107635301508,-0.12109628822340697,0.0344990291461551,-0.018151964420550226,0.09354928317459847,1.0500363818151897,0.09371463705487802
uncut_pooled,log_sigma_star,stage_profile,SF,pre-peak,11,8.0,0.4840122329361917,0.14164556096314787,0.05719291182408037,,,,
uncut_pooled,log_sigma_star,stage_profile,SF,close-to-peak,11,8.0,0.32208567608065625,0.012601730469405477,0.1949666566115238,,,,
uncut_pooled,log_sigma_star,stage_profile,SF,post-peak,11,8.0,0.050886712115988206,0.02398147993242745,0.05113142560762747,,,,
uncut_pooled,log_sigma_star,stage_difference_second_minus_first,SF,close-to-peak minus pre-peak,11,8.0,-0.16192655685553542,-0.12904383049374238,0.1895081867009631,-0.17805703566725323,0.21522324849908328,0.6211861969679003,0.199084407278487
uncut_pooled,log_sigma_star,stage_difference_second_minus_first,SF,post-peak minus close-to-peak,11,8.0,-0.27119896396466797,0.01137974946302194,0.1480224962457281,-0.26977649528179026,0.14829563743066518,0.1888953695277941,0.027922573194250944
uncut_pooled,log_sigma_star,stage_difference_second_minus_first,SF,post-peak minus pre-peak,11,8.0,-0.43312552082020345,-0.11766408103072043,0.07512494200825037,-0.4478335309490435,0.11956914062476759,0.10944001469965348,0.051702404523289835
uncut_pooled,log_sigma_star,stage_profile,ND,pre-peak,11,8.0,0.20842496332761198,-0.2211504995583852,0.06289227029317754,,,,
uncut_pooled,log_sigma_star,stage_profile,ND,close-to-peak,11,8.0,0.34763146885760826,-0.3399108868767294,0.12809514903723743,,,,
uncut_pooled,log_sigma_star,stage_profile,ND,post-peak,11,8.0,0.6166286516529018,-0.4551769457481924,0.10264202537133897,,,,
uncut_pooled,log_sigma_star,stage_difference_second_minus_first,ND,close-to-peak minus pre-peak,11,8.0,0.13920650552999642,-0.1187603873183441,0.09299271721209991,0.12436145711520337,0.1321463732078619,1.6070994176683142,0.09032664005933191
uncut_pooled,log_sigma_star,stage_difference_second_minus_first,ND,post-peak minus close-to-peak,11,8.0,0.2689971827952935,-0.11526605887146316,0.1437617780446616,0.25458892543636075,0.17020976479453903,1.4891988278800188,0.2242665370746182
uncut_pooled,log_sigma_star,stage_difference_second_minus_first,ND,post-peak minus pre-peak,11,8.0,0.40820368832529,-0.23402644618980734,0.12225711711290664,0.3789503825515641,0.2217589651680472,2.4384543898886566,0.23178485386515374
uncut_pooled,log_sigma_star,stage_profile,NSF,pre-peak,11,8.0,0.3075628037361964,0.0795049385952372,0.05993150736504737,,,,
uncut_pooled,log_sigma_star,stage_profile,NSF,close-to-peak,11,8.0,0.3302828550617355,0.3273091564073236,0.08494338916996579,,,,
uncut_pooled,log_sigma_star,stage_profile,NSF,post-peak,11,8.0,0.3324846362311098,0.4311954658157651,0.08838561644024664,,,,
uncut_pooled,log_sigma_star,stage_difference_second_minus_first,NSF,close-to-peak minus pre-peak,11,8.0,0.022720051325539118,0.24780421781208647,0.13130556417669928,0.053695578552049934,0.23583995136993596,1.2081523430943855,0.23196811416602398
uncut_pooled,log_sigma_star,stage_difference_second_minus_first,NSF,post-peak minus close-to-peak,11,8.0,0.002201781169374366,0.10388630940844126,0.11788370251236444,0.015187569845429526,0.14367252910556746,1.0954874274090338,0.13762211048703113
uncut_pooled,log_sigma_star,stage_difference_second_minus_first,NSF,post-peak minus pre-peak,11,8.0,0.024921832494913504,0.35169052722052774,0.10826494447320752,0.06888314839747944,0.2983708934148816,1.3285268022803594,0.28648901710046193
snr25_pooled,radius_re,stage_profile,SF,pre-peak,10,1.0,0.5051396076470033,0.09335532947835891,0.04606929473547075,,,,
snr25_pooled,radius_re,stage_profile,SF,close-to-peak,10,1.0,0.45578543756909284,-0.2090058970451705,0.09729772361963797,,,,
snr25_pooled,radius_re,stage_profile,SF,post-peak,10,1.0,0.09105680468695768,-0.07026311995311438,0.0213664760418209,,,,
snr25_pooled,radius_re,stage_difference_second_minus_first,SF,close-to-peak minus pre-peak,10,1.0,-0.04935417007791035,-0.30236122652352937,0.06960993740210149,-0.12494447670879269,0.2280025715900342,0.7225113585289186,0.21349842421807214
snr25_pooled,radius_re,stage_difference_second_minus_first,SF,post-peak minus close-to-peak,10,1.0,-0.36472863288213525,0.13874277709205604,0.09336038840257745,-0.3300429386091212,0.13653466800446085,0.19417820008470232,0.03251031128719858
snr25_pooled,radius_re,stage_difference_second_minus_first,SF,post-peak minus pre-peak,10,1.0,-0.4140828029600455,-0.1636184494314733,0.04363917391318601,-0.454987415317914,0.1253322497406072,0.12519332848012457,0.06262543149002826
snr25_pooled,radius_re,stage_profile,ND,pre-peak,10,1.0,0.1100102931466073,0.005300868548907883,0.058816480499541,,,,
snr25_pooled,radius_re,stage_profile,ND,close-to-peak,10,1.0,0.2012364568913866,0.37521719988431945,0.09390753508637581,,,,
snr25_pooled,radius_re,stage_profile,ND,post-peak,10,1.0,0.5131865531228899,0.278769832681432,0.1310049471278567,,,,
snr25_pooled,radius_re,stage_difference_second_minus_first,ND,close-to-peak minus pre-peak,10,1.0,0.0912261637447793,0.3699163313354116,0.14985062789660547,0.1837052465786322,0.3049792648128386,1.813891002383266,0.34095123225491075
snr25_pooled,radius_re,stage_difference_second_minus_first,ND,post-peak minus close-to-peak,10,1.0,0.31195009623150316,-0.09644736720288744,0.22059796362097625,0.2878382544307814,0.23121387091319073,1.2736787240735288,0.3517000769905673
snr25_pooled,radius_re,stage_difference_second_minus_first,ND,post-peak minus pre-peak,10,1.0,0.4031762599762825,0.2734689641325241,0.0838590725227299,0.47154350100941367,0.21352634761979816,4.565482050371106,0.25730070488859735
snr25_pooled,radius_re,stage_profile,NSF,pre-peak,10,1.0,0.38485009920638924,-0.09865619802726658,0.08925131159537934,,,,
snr25_pooled,radius_re,stage_profile,NSF,close-to-peak,10,1.0,0.3429781055395202,-0.16621130283914884,0.03015122344112457,,,,
snr25_pooled,radius_re,stage_profile,NSF,post-peak,10,1.0,0.39575664219015216,-0.20850671272831733,0.12870643941192375,,,,
